Jurisdiction,Count,url,png
California,7,https://iapp.org/resources/article/us-state-ai-governance-legislation-tracker/#state-ai-governance-law-chart,https://iapp.org/media/images/resource_center/us_state_ai_governance_legislation_tracker_map_wide.png
Colorado,1,https://iapp.org/resources/article/us-state-ai-governance-legislation-tracker/#state-ai-governance-law-chart,https://iapp.org/media/images/resource_center/us_state_ai_governance_legislation_tracker_map_wide.png
Hawaii,1,https://iapp.org/resources/article/us-state-ai-governance-legislation-tracker/#state-ai-governance-law-chart,https://iapp.org/media/images/resource_center/us_state_ai_governance_legislation_tracker_map_wide.png
Illinois,4,https://iapp.org/resources/article/us-state-ai-governance-legislation-tracker/#state-ai-governance-law-chart,https://iapp.org/media/images/resource_center/us_state_ai_governance_legislation_tracker_map_wide.png
Iowa,1,https://iapp.org/resources/article/us-state-ai-governance-legislation-tracker/#state-ai-governance-law-chart,https://iapp.org/media/images/resource_center/us_state_ai_governance_legislation_tracker_map_wide.png
Massachusetts,2,https://iapp.org/resources/article/us-state-ai-governance-legislation-tracker/#state-ai-governance-law-chart,https://iapp.org/media/images/resource_center/us_state_ai_governance_legislation_tracker_map_wide.png
Minnesota,1,https://iapp.org/resources/article/us-state-ai-governance-legislation-tracker/#state-ai-governance-law-chart,https://iapp.org/media/images/resource_center/us_state_ai_governance_legislation_tracker_map_wide.png
Nebraska,1,https://iapp.org/resources/article/us-state-ai-governance-legislation-tracker/#state-ai-governance-law-chart,https://iapp.org/media/images/resource_center/us_state_ai_governance_legislation_tracker_map_wide.png
New York,8,https://iapp.org/resources/article/us-state-ai-governance-legislation-tracker/#state-ai-governance-law-chart,https://iapp.org/media/images/resource_center/us_state_ai_governance_legislation_tracker_map_wide.png
Oklahoma,1,https://iapp.org/resources/article/us-state-ai-governance-legislation-tracker/#state-ai-governance-law-chart,https://iapp.org/media/images/resource_center/us_state_ai_governance_legislation_tracker_map_wide.png
Texas,1,https://iapp.org/resources/article/us-state-ai-governance-legislation-tracker/#state-ai-governance-law-chart,https://iapp.org/media/images/resource_center/us_state_ai_governance_legislation_tracker_map_wide.png
Utah,2,https://iapp.org/resources/article/us-state-ai-governance-legislation-tracker/#state-ai-governance-law-chart,https://iapp.org/media/images/resource_center/us_state_ai_governance_legislation_tracker_map_wide.png
Vermont,2,https://iapp.org/resources/article/us-state-ai-governance-legislation-tracker/#state-ai-governance-law-chart,https://iapp.org/media/images/resource_center/us_state_ai_governance_legislation_tracker_map_wide.png
