Country of developer,Country of developer_label,Country of provider,Country of provider_label,is_open_source,model_count_provider,ref_date,type
ALL,-- All countries --,USA,United States,All,17,202301,All modalities
ALL,-- All countries --,USA,United States,All,22,202302,All modalities
ALL,-- All countries --,USA,United States,All,26,202303,All modalities
ALL,-- All countries --,USA,United States,All,28,202304,All modalities
ALL,-- All countries --,USA,United States,All,29,202305,All modalities
ALL,-- All countries --,USA,United States,All,28,202306,All modalities
ALL,-- All countries --,USA,United States,All,61,202307,All modalities
ALL,-- All countries --,USA,United States,All,87,202308,All modalities
ALL,-- All countries --,USA,United States,All,87,202309,All modalities
ALL,-- All countries --,USA,United States,All,94,202310,All modalities
ALL,-- All countries --,USA,United States,All,98,202311,All modalities
ALL,-- All countries --,USA,United States,All,106,202312,All modalities
ALL,-- All countries --,USA,United States,All,136,202401,All modalities
ALL,-- All countries --,USA,United States,All,169,202402,All modalities
ALL,-- All countries --,USA,United States,All,184,202403,All modalities
ALL,-- All countries --,USA,United States,All,195,202404,All modalities
ALL,-- All countries --,USA,United States,All,222,202405,All modalities
ALL,-- All countries --,USA,United States,All,308,202406,All modalities
ALL,-- All countries --,USA,United States,All,383,202407,All modalities
ALL,-- All countries --,USA,United States,All,399,202408,All modalities
ALL,-- All countries --,USA,United States,All,440,202409,All modalities
ALL,-- All countries --,USA,United States,All,599,202410,All modalities
ALL,-- All countries --,USA,United States,All,593,202411,All modalities
ALL,-- All countries --,USA,United States,All,605,202412,All modalities
ALL,-- All countries --,USA,United States,All,612,202501,All modalities
ALL,-- All countries --,USA,United States,All,626,202502,All modalities
ALL,-- All countries --,USA,United States,All,634,202503,All modalities
ALL,-- All countries --,USA,United States,All,655,202504,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,7,202306,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,4,202307,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,4,202308,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,4,202309,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,4,202310,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,3,202311,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,3,202312,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,3,202401,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,3,202402,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,3,202403,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,3,202404,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,5,202405,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,5,202406,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,24,202407,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,30,202408,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,29,202409,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,42,202410,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,49,202411,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,49,202412,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,98,202501,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,98,202502,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,111,202503,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,112,202504,All modalities
ALL,-- All countries --,SGP,Singapore,All,21,202409,All modalities
ALL,-- All countries --,SGP,Singapore,All,22,202410,All modalities
ALL,-- All countries --,SGP,Singapore,All,22,202411,All modalities
ALL,-- All countries --,SGP,Singapore,All,22,202412,All modalities
ALL,-- All countries --,SGP,Singapore,All,33,202501,All modalities
ALL,-- All countries --,SGP,Singapore,All,32,202502,All modalities
ALL,-- All countries --,SGP,Singapore,All,34,202503,All modalities
