Country of developer,Country of developer_label,Country of provider,Country of provider_label,is_open_source,quality_index,ref_date,type
USA,United States,ALL,-- All countries --,All,0.2720000000000001,202301,Text-to-text
USA,United States,ALL,-- All countries --,All,0.2914285714285715,202302,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3370588235294118,202303,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3370588235294118,202304,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3370588235294118,202305,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3733333333333333,202306,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3818181818181818,202307,Text-to-text
USA,United States,ALL,-- All countries --,All,0.4075,202308,Text-to-text
USA,United States,ALL,-- All countries --,All,0.4075,202309,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3821739130434782,202310,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3933333333333333,202311,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3944,202312,Text-to-text
USA,United States,ALL,-- All countries --,All,0.37942857142857145,202401,Text-to-text
USA,United States,ALL,-- All countries --,All,0.41588235294117654,202402,Text-to-text
USA,United States,ALL,-- All countries --,All,0.422909090909091,202403,Text-to-text
USA,United States,ALL,-- All countries --,All,0.43680555555555556,202404,Text-to-text
USA,United States,ALL,-- All countries --,All,0.4429999999999999,202405,Text-to-text
USA,United States,ALL,-- All countries --,All,0.4658000000000003,202406,Text-to-text
USA,United States,ALL,-- All countries --,All,0.46994594594594646,202407,Text-to-text
USA,United States,ALL,-- All countries --,All,0.4937209302325587,202408,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5111832061068706,202409,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5054314720812192,202410,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5161842105263166,202411,Text-to-text
USA,United States,ALL,-- All countries --,All,0.517124352331607,202412,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5262531017369733,202501,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5273267326732679,202502,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5319211822660105,202503,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5351225490196085,202504,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,202307,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,202308,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,202309,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,202310,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,202311,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,202312,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,202401,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,202402,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,202403,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.49,202404,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.48599999999999993,202405,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.48599999999999993,202406,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.48714285714285704,202407,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.48714285714285704,202408,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.48923076923076925,202409,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.49000000000000005,202410,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.48461538461538467,202411,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.48461538461538467,202412,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.48461538461538467,202501,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.48461538461538467,202502,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.48461538461538467,202503,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.48461538461538467,202504,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,,202306,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,,202307,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,,202308,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,,202309,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,,202310,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,,202311,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.51,202312,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.51,202401,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.51,202402,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.51,202403,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.51,202404,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,,202405,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.5189999999999999,202406,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.5809090909090909,202407,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.589090909090909,202408,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.5841176470588236,202409,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.5618181818181818,202410,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.572391304347826,202411,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.5727659574468085,202412,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.6111428571428572,202501,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.6215789473684211,202502,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.6265168539325845,202503,Text-to-text
CHN,China (People's Republic of),ALL,-- All countries --,All,0.6327368421052634,202504,Text-to-text
FRA,France,ALL,-- All countries --,All,,202302,Text-to-text
FRA,France,ALL,-- All countries --,All,,202303,Text-to-text
FRA,France,ALL,-- All countries --,All,,202304,Text-to-text
FRA,France,ALL,-- All countries --,All,,202305,Text-to-text
FRA,France,ALL,-- All countries --,All,,202306,Text-to-text
FRA,France,ALL,-- All countries --,All,,202307,Text-to-text
FRA,France,ALL,-- All countries --,All,,202308,Text-to-text
FRA,France,ALL,-- All countries --,All,,202309,Text-to-text
FRA,France,ALL,-- All countries --,All,,202310,Text-to-text
FRA,France,ALL,-- All countries --,All,,202311,Text-to-text
FRA,France,ALL,-- All countries --,All,0.492,202312,Text-to-text
FRA,France,ALL,-- All countries --,All,0.492,202401,Text-to-text
FRA,France,ALL,-- All countries --,All,0.475,202402,Text-to-text
FRA,France,ALL,-- All countries --,All,0.4624999999999999,202403,Text-to-text
FRA,France,ALL,-- All countries --,All,0.4774999999999999,202404,Text-to-text
FRA,France,ALL,-- All countries --,All,0.48000000000000004,202405,Text-to-text
FRA,France,ALL,-- All countries --,All,0.47040000000000004,202406,Text-to-text
FRA,France,ALL,-- All countries --,All,0.4790000000000001,202407,Text-to-text
FRA,France,ALL,-- All countries --,All,0.49531250000000004,202408,Text-to-text
FRA,France,ALL,-- All countries --,All,0.5047222222222223,202409,Text-to-text
FRA,France,ALL,-- All countries --,All,0.4844827586206893,202410,Text-to-text
FRA,France,ALL,-- All countries --,All,0.48741379310344796,202411,Text-to-text
FRA,France,ALL,-- All countries --,All,0.48741379310344796,202412,Text-to-text
FRA,France,ALL,-- All countries --,All,0.49210526315789443,202501,Text-to-text
FRA,France,ALL,-- All countries --,All,0.4932758620689652,202502,Text-to-text
FRA,France,ALL,-- All countries --,All,0.4939999999999997,202503,Text-to-text
FRA,France,ALL,-- All countries --,All,0.4944444444444442,202504,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202307,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202402,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202403,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202404,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202405,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202406,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202407,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202408,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202409,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202410,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202411,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202412,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202501,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202502,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202503,Text-to-text
ARE,United Arab Emirates,ALL,-- All countries --,All,0.41,202504,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,202303,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,202304,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,202305,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,202306,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,202307,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,202308,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,202309,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,202310,Text-to-text
ISR,Israel,ALL,-- All countries --,All,,202311,Text-to-text
