AI_skills_migration_per_10_000_LinkedIn_members,Country,Country_label,Country_group,Year
1.77587,DE,Germany,All countries,2019
1.68321,DE,Germany,All countries,2020
2.12751,DE,Germany,All countries,2021
2.8266,DE,Germany,All countries,2022
2.07615,DE,Germany,All countries,2023
2.1277,DE,Germany,All countries,2024
-0.17347,AE,United Arab Emirates,All countries,2019
0.46874,AE,United Arab Emirates,All countries,2020
1.36619,AE,United Arab Emirates,All countries,2021
2.75022,AE,United Arab Emirates,All countries,2022
3.50432,AE,United Arab Emirates,All countries,2023
4.12626,AE,United Arab Emirates,All countries,2024
0.49376,CA,Canada,All countries,2019
0.81966,CA,Canada,All countries,2020
1.78871,CA,Canada,All countries,2021
2.37959,CA,Canada,All countries,2022
2.37051,CA,Canada,All countries,2023
0.94559,CA,Canada,All countries,2024
0.92182,FI,Finland,All countries,2019
0.97004,FI,Finland,All countries,2020
1.37839,FI,Finland,All countries,2021
1.61238,FI,Finland,All countries,2022
1.58202,FI,Finland,All countries,2023
1.29716,FI,Finland,All countries,2024
-0.19329,IE,Ireland,All countries,2019
0.89325,IE,Ireland,All countries,2020
0.92063,IE,Ireland,All countries,2021
2.17811,IE,Ireland,All countries,2022
1.62224,IE,Ireland,All countries,2023
2.16751,IE,Ireland,All countries,2024
0.09649,NL,Netherlands,All countries,2019
0.77257,NL,Netherlands,All countries,2020
1.34484,NL,Netherlands,All countries,2021
1.99851,NL,Netherlands,All countries,2022
1.48866,NL,Netherlands,All countries,2023
0.91773,NL,Netherlands,All countries,2024
0.94771,AU,Australia,All countries,2019
0.36183,AU,Australia,All countries,2020
0.24611,AU,Australia,All countries,2021
1.2015,AU,Australia,All countries,2022
1.52999,AU,Australia,All countries,2023
1.48224,AU,Australia,All countries,2024
-0.10186,PL,Poland,All countries,2019
0.31268,PL,Poland,All countries,2020
0.52032,PL,Poland,All countries,2021
1.64495,PL,Poland,All countries,2022
1.12264,PL,Poland,All countries,2023
0.95024,PL,Poland,All countries,2024
0.01071,GB,United Kingdom,All countries,2019
0.14157,GB,United Kingdom,All countries,2020
0.87163,GB,United Kingdom,All countries,2021
1.68471,GB,United Kingdom,All countries,2022
1.13617,GB,United Kingdom,All countries,2023
0.54623,GB,United Kingdom,All countries,2024
0.22025,DK,Denmark,All countries,2019
0.22422,DK,Denmark,All countries,2020
0.91678,DK,Denmark,All countries,2021
0.77721,DK,Denmark,All countries,2022
0.9105,DK,Denmark,All countries,2023
1.14299,DK,Denmark,All countries,2024
0.43725,US,United States,All countries,2019
0.07898,US,United States,All countries,2020
0.63189,US,United States,All countries,2021
0.85519,US,United States,All countries,2022
0.98558,US,United States,All countries,2023
1.07076,US,United States,All countries,2024
-0.31825,SE,Sweden,All countries,2019
0.84697,SE,Sweden,All countries,2020
0.94625,SE,Sweden,All countries,2021
1.19434,SE,Sweden,All countries,2022
0.485,SE,Sweden,All countries,2023
0.40988,SE,Sweden,All countries,2024
0.50752,BE,Belgium,All countries,2019
0.5325,BE,Belgium,All countries,2020
0.5062,BE,Belgium,All countries,2021
0.41593,BE,Belgium,All countries,2022
0.67848,BE,Belgium,All countries,2023
0.63099,BE,Belgium,All countries,2024
0.28887,ES,Spain,All countries,2019
0.13664,ES,Spain,All countries,2020
0.44634,ES,Spain,All countries,2021
0.52854,ES,Spain,All countries,2022
0.65493,ES,Spain,All countries,2023
0.94425,ES,Spain,All countries,2024
0.38415,FR,France,All countries,2019
0.39976,FR,France,All countries,2020
0.14468,FR,France,All countries,2021
0.072,FR,France,All countries,2022
0.17927,FR,France,All countries,2023
0.34041,FR,France,All countries,2024
0.48525,NZ,New Zealand,All countries,2019
0.52993,NZ,New Zealand,All countries,2020
0.15711,NZ,New Zealand,All countries,2021
0.11323,NZ,New Zealand,All countries,2022
0.25141,NZ,New Zealand,All countries,2023
-0.22937,NZ,New Zealand,All countries,2024
-0.25728,HK,Hong Kong (China),All countries,2019
-0.0768,HK,Hong Kong (China),All countries,2020
-0.07044,HK,Hong Kong (China),All countries,2021
-0.5815,HK,Hong Kong (China),All countries,2022
0.65746,HK,Hong Kong (China),All countries,2023
0.9692,HK,Hong Kong (China),All countries,2024
-0.45844,KR,Korea,All countries,2019
0.47904,KR,Korea,All countries,2020
0.19227,KR,Korea,All countries,2021
0.0031,KR,Korea,All countries,2022
-0.52086,KR,Korea,All countries,2023
-0.35631,KR,Korea,All countries,2024
-0.10052,IT,Italy,All countries,2019
-0.16852,IT,Italy,All countries,2020
-0.03393,IT,Italy,All countries,2021
-0.2344,IT,Italy,All countries,2022
-0.26429,IT,Italy,All countries,2023
-0.1032,IT,Italy,All countries,2024
-0.48243,IL,Israel,All countries,2019
0.30241,IL,Israel,All countries,2020
0.40832,IL,Israel,All countries,2021
1.1342,IL,Israel,All countries,2022
-0.63193,IL,Israel,All countries,2023
-2.10231,IL,Israel,All countries,2024
