Country of developer,Country of developer_label,Country of provider,Country of provider_label,is_open_source,provider_count,ref_date,type
ALL,-- All countries --,USA,United States,All,4,2023-01-01,All modalities
ALL,-- All countries --,USA,United States,All,5,2023-02-01,All modalities
ALL,-- All countries --,USA,United States,All,5,2023-03-01,All modalities
ALL,-- All countries --,USA,United States,All,5,2023-04-01,All modalities
ALL,-- All countries --,USA,United States,All,5,2023-05-01,All modalities
ALL,-- All countries --,USA,United States,All,5,2023-06-01,All modalities
ALL,-- All countries --,USA,United States,All,6,2023-07-01,All modalities
ALL,-- All countries --,USA,United States,All,6,2023-08-01,All modalities
ALL,-- All countries --,USA,United States,All,6,2023-09-01,All modalities
ALL,-- All countries --,USA,United States,All,6,2023-10-01,All modalities
ALL,-- All countries --,USA,United States,All,6,2023-11-01,All modalities
ALL,-- All countries --,USA,United States,All,6,2023-12-01,All modalities
ALL,-- All countries --,USA,United States,All,10,2024-01-01,All modalities
ALL,-- All countries --,USA,United States,All,13,2024-02-01,All modalities
ALL,-- All countries --,USA,United States,All,14,2024-03-01,All modalities
ALL,-- All countries --,USA,United States,All,15,2024-04-01,All modalities
ALL,-- All countries --,USA,United States,All,18,2024-05-01,All modalities
ALL,-- All countries --,USA,United States,All,23,2024-06-01,All modalities
ALL,-- All countries --,USA,United States,All,24,2024-07-01,All modalities
ALL,-- All countries --,USA,United States,All,24,2024-08-01,All modalities
ALL,-- All countries --,USA,United States,All,25,2024-09-01,All modalities
ALL,-- All countries --,USA,United States,All,29,2024-10-01,All modalities
ALL,-- All countries --,USA,United States,All,30,2024-11-01,All modalities
ALL,-- All countries --,USA,United States,All,31,2024-12-01,All modalities
ALL,-- All countries --,USA,United States,All,34,2025-01-01,All modalities
ALL,-- All countries --,USA,United States,All,34,2025-02-01,All modalities
ALL,-- All countries --,USA,United States,All,34,2025-03-01,All modalities
ALL,-- All countries --,USA,United States,All,34,2025-04-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,1,2023-06-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,1,2023-07-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,1,2023-08-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,1,2023-09-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,1,2023-10-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,1,2023-11-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,1,2023-12-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,1,2024-01-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,1,2024-02-01,All modalities
