Country of developer,Country of developer_label,Country of provider,Country of provider_label,is_open_source,model_count_provider,ref_date,type
ALL,-- All countries --,USA,United States,All,17,2023-01-01,All modalities
ALL,-- All countries --,USA,United States,All,22,2023-02-01,All modalities
ALL,-- All countries --,USA,United States,All,26,2023-03-01,All modalities
ALL,-- All countries --,USA,United States,All,28,2023-04-01,All modalities
ALL,-- All countries --,USA,United States,All,29,2023-05-01,All modalities
ALL,-- All countries --,USA,United States,All,28,2023-06-01,All modalities
ALL,-- All countries --,USA,United States,All,61,2023-07-01,All modalities
ALL,-- All countries --,USA,United States,All,87,2023-08-01,All modalities
ALL,-- All countries --,USA,United States,All,87,2023-09-01,All modalities
ALL,-- All countries --,USA,United States,All,94,2023-10-01,All modalities
ALL,-- All countries --,USA,United States,All,98,2023-11-01,All modalities
ALL,-- All countries --,USA,United States,All,106,2023-12-01,All modalities
ALL,-- All countries --,USA,United States,All,136,2024-01-01,All modalities
ALL,-- All countries --,USA,United States,All,169,2024-02-01,All modalities
ALL,-- All countries --,USA,United States,All,184,2024-03-01,All modalities
ALL,-- All countries --,USA,United States,All,195,2024-04-01,All modalities
ALL,-- All countries --,USA,United States,All,222,2024-05-01,All modalities
ALL,-- All countries --,USA,United States,All,308,2024-06-01,All modalities
ALL,-- All countries --,USA,United States,All,383,2024-07-01,All modalities
ALL,-- All countries --,USA,United States,All,399,2024-08-01,All modalities
ALL,-- All countries --,USA,United States,All,440,2024-09-01,All modalities
ALL,-- All countries --,USA,United States,All,599,2024-10-01,All modalities
ALL,-- All countries --,USA,United States,All,593,2024-11-01,All modalities
ALL,-- All countries --,USA,United States,All,605,2024-12-01,All modalities
ALL,-- All countries --,USA,United States,All,612,2025-01-01,All modalities
ALL,-- All countries --,USA,United States,All,626,2025-02-01,All modalities
ALL,-- All countries --,USA,United States,All,634,2025-03-01,All modalities
ALL,-- All countries --,USA,United States,All,655,2025-04-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,7,2023-06-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,4,2023-07-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,4,2023-08-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,4,2023-09-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,4,2023-10-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,3,2023-11-01,All modalities
