Country of developer,Country of developer_label,Country of provider,Country of provider_label,foundation_model_count_by_provider,is_open_source,ref_date,type
ALL,-- All countries --,USA,United States,15,All,2023-01-01,All modalities
ALL,-- All countries --,USA,United States,18,All,2023-02-01,All modalities
ALL,-- All countries --,USA,United States,21,All,2023-03-01,All modalities
ALL,-- All countries --,USA,United States,23,All,2023-04-01,All modalities
ALL,-- All countries --,USA,United States,24,All,2023-05-01,All modalities
ALL,-- All countries --,USA,United States,21,All,2023-06-01,All modalities
ALL,-- All countries --,USA,United States,46,All,2023-07-01,All modalities
ALL,-- All countries --,USA,United States,33,All,2023-08-01,All modalities
ALL,-- All countries --,USA,United States,33,All,2023-09-01,All modalities
ALL,-- All countries --,USA,United States,36,All,2023-10-01,All modalities
ALL,-- All countries --,USA,United States,37,All,2023-11-01,All modalities
ALL,-- All countries --,USA,United States,44,All,2023-12-01,All modalities
ALL,-- All countries --,USA,United States,64,All,2024-01-01,All modalities
ALL,-- All countries --,USA,United States,82,All,2024-02-01,All modalities
ALL,-- All countries --,USA,United States,94,All,2024-03-01,All modalities
ALL,-- All countries --,USA,United States,104,All,2024-04-01,All modalities
ALL,-- All countries --,USA,United States,122,All,2024-05-01,All modalities
ALL,-- All countries --,USA,United States,172,All,2024-06-01,All modalities
ALL,-- All countries --,USA,United States,209,All,2024-07-01,All modalities
ALL,-- All countries --,USA,United States,217,All,2024-08-01,All modalities
ALL,-- All countries --,USA,United States,254,All,2024-09-01,All modalities
ALL,-- All countries --,USA,United States,362,All,2024-10-01,All modalities
ALL,-- All countries --,USA,United States,357,All,2024-11-01,All modalities
ALL,-- All countries --,USA,United States,362,All,2024-12-01,All modalities
ALL,-- All countries --,USA,United States,390,All,2025-01-01,All modalities
ALL,-- All countries --,USA,United States,399,All,2025-02-01,All modalities
ALL,-- All countries --,USA,United States,407,All,2025-03-01,All modalities
ALL,-- All countries --,USA,United States,422,All,2025-04-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),4,All,2023-06-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),2,All,2023-07-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),2,All,2023-08-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),2,All,2023-09-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),2,All,2023-10-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),3,All,2023-11-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),3,All,2023-12-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),3,All,2024-01-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),3,All,2024-02-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),3,All,2024-03-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),3,All,2024-04-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),5,All,2024-05-01,All modalities
