Country of developer,Country of developer_label,Country of provider,Country of provider_label,is_open_source,quality_index,ref_date,type
USA,United States,ALL,-- All countries --,All,0.2720000000000001,2023-01-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.2914285714285715,2023-02-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3370588235294118,2023-03-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3370588235294118,2023-04-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3370588235294118,2023-05-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3733333333333333,2023-06-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3818181818181818,2023-07-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.4075,2023-08-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.4075,2023-09-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3821739130434782,2023-10-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3933333333333333,2023-11-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3944,2023-12-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.3794285714285714,2024-01-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.4158823529411765,2024-02-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.422909090909091,2024-03-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.4368055555555555,2024-04-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.4429999999999999,2024-05-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.4658000000000003,2024-06-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.4699459459459464,2024-07-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.4937209302325587,2024-08-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5111832061068706,2024-09-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5054314720812192,2024-10-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5161842105263166,2024-11-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.517124352331607,2024-12-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5262531017369733,2025-01-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5273267326732679,2025-02-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5319211822660105,2025-03-01,Text-to-text
USA,United States,ALL,-- All countries --,All,0.5351225490196085,2025-04-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,2023-07-01,Text-to-text
CAN,Canada,ALL,-- All countries --,All,0.47,2023-08-01,Text-to-text
