Number of highly cited publications in top 100,Geographic area,Label
50,United States,2023
34,China,2023
7,Germany,2023
7,Hong Kong,2023
6,Canada,2023
6,South Korea,2023
5,United Kingdom,2023
4,United Arab Emirates,2023
4,Israel,2023
4,Singapore,2023
59,United States,2022
34,China,2022
7,Germany,2022
6,United Kingdom,2022
4,Hong Kong,2022
4,Singapore,2022
3,Canada,2022
3,Israel,2022
2,United Arab Emirates,2022
1,South Korea,2022
64,United States,2021
33,China,2021
10,Germany,2021
8,Hong Kong,2021
7,United Kingdom,2021
7,Singapore,2021
4,Canada,2021
3,South Korea,2021
1,United Arab Emirates,2021
1,Israel,2021
