Organization,Number of highly cited publications in top 100,Label
Google,8,2023
Tsinghua University,8,2023
Carnegie Mellon University,6,2023
Microsoft,6,2023
Beijing Academy of Artificial Intelligence,5,2023
Hong Kong University of Science and Technology,5,2023
Shanghai AI Laboratory,5,2023
Chinese Academy of Sciences,4,2023
Meta,4,2023
Nvidia,4,2023
Google,20,2022
Tsinghua University,10,2022
Meta,9,2022
Microsoft,9,2022
Nvidia,4,2022
Chinese Academy of Sciences,3,2022
Shanghai AI Laboratory,3,2022
Beijing Academy of Artificial Intelligence,2,2022
Carnegie Mellon University,2,2022
Hong Kong University of Science and Technology,2,2022
Google,15,2021
Microsoft,10,2021
Meta,7,2021
Tsinghua University,5,2021
Hong Kong University of Science and Technology,2,2021
Nvidia,2,2021
Shanghai AI Laboratory,1,2021
