Year,Number of AI publications in CS (in thousands),Label
2013,3.065,Dissertation
2014,3.376,Dissertation
2015,3.719,Dissertation
2016,4.068,Dissertation
2017,4.674,Dissertation
2018,5.273,Dissertation
2019,5.18,Dissertation
2020,4.413,Dissertation
2021,2.131,Dissertation
2022,0.769,Dissertation
2023,0.958,Dissertation
2013,0.862,Other
2014,0.895,Other
2015,0.965,Other
2016,0.87,Other
2017,0.929,Other
2018,0.905,Other
2019,1.062,Other
2020,1.194,Other
2021,2.176,Other
2022,1.532,Other
2023,1.642,Other
2013,3.797,Book
2014,3.587,Book
2015,4.026,Book
2016,3.515,Book
2017,4.061,Book
2018,5.684,Book
2019,5.582,Book
2020,7.166,Book
2021,8.774,Book
2022,10.141,Book
2023,10.728,Book
2013,3.528,Repository
2014,4.151,Repository
2015,4.683,Repository
2016,6.116,Repository
2017,6.965,Repository
2018,10.202,Repository
2019,13.108,Repository
2020,16.616,Repository
2021,20.718,Repository
2022,12.642,Repository
2023,44.538,Repository
2013,37.067,Conference
2014,37.897,Conference
2015,40.72,Conference
2016,42.322,Conference
2017,45.127,Conference
2018,51.181,Conference
2019,58.093,Conference
2020,55.85,Conference
2021,65.58,Conference
2022,68.692,Conference
2023,83.301,Conference
2013,53.566,Journal
2014,54.504,Journal
2015,51.623,Journal
2016,50.375,Journal
2017,55.181,Journal
2018,66.472,Journal
2019,81.177,Journal
2020,95.882,Journal
2021,104.685,Journal
2022,108.985,Journal
2023,101.569,Journal
