Year,AI publications in CS (% of total),Label
2013,0.004304185242548967,Sub-Saharan Africa
2014,0.00420171528847659,Sub-Saharan Africa
2015,0.004755819408272538,Sub-Saharan Africa
2016,0.005206402297127801,Sub-Saharan Africa
2017,0.005712886052057144,Sub-Saharan Africa
2018,0.0057676661142082265,Sub-Saharan Africa
2019,0.006501380779146668,Sub-Saharan Africa
2020,0.007207354591848327,Sub-Saharan Africa
2021,0.007996218221442364,Sub-Saharan Africa
2022,0.009935495827978131,Sub-Saharan Africa
2023,0.008932477389030755,Sub-Saharan Africa
2013,0.023206660790840557,Latin America and the Caribbean
2014,0.02373557205117854,Latin America and the Caribbean
2015,0.025218783869037028,Latin America and the Caribbean
2016,0.02469885695804113,Latin America and the Caribbean
2017,0.02360077516587541,Latin America and the Caribbean
2018,0.02449299382251017,Latin America and the Caribbean
2019,0.02320320381523035,Latin America and the Caribbean
2020,0.02276269807728138,Latin America and the Caribbean
2021,0.019858343548942784,Latin America and the Caribbean
2022,0.017937075193089472,Latin America and the Caribbean
2023,0.016596637943020697,Latin America and the Caribbean
2013,0.03700914746326896,Middle East and North Africa
2014,0.04179470913419949,Middle East and North Africa
2015,0.045657483945065434,Middle East and North Africa
2016,0.045137930218432244,Middle East and North Africa
2017,0.045659863553515985,Middle East and North Africa
2018,0.04276028326050926,Middle East and North Africa
2019,0.04329838076895642,Middle East and North Africa
2020,0.04714773259169382,Middle East and North Africa
2021,0.04891874784670977,Middle East and North Africa
2022,0.05534627177166893,Middle East and North Africa
2023,0.05176021351130464,Middle East and North Africa
2013,0.05239468437401059,South Asia
2014,0.06416266405226605,South Asia
2015,0.07098141348129217,South Asia
2016,0.07777260643542878,South Asia
2017,0.07688262288468327,South Asia
2018,0.0733644718999548,South Asia
2019,0.06885043767132361,South Asia
2020,0.0734368538488455,South Asia
2021,0.0832872629377689,South Asia
2022,0.09896817498720795,South Asia
2023,0.09984095171239729,South Asia
2013,0.1331644746412466,North America
2014,0.12685060842485107,North America
2015,0.12984681085103286,North America
2016,0.1299549567316415,North America
2017,0.13187905683349063,North America
2018,0.13478378785595901,North America
2019,0.1401822017058482,North America
2020,0.14151590753136745,North America
2021,0.13715357065596231,North America
2022,0.10893590275623385,North America
2023,0.10306600334374438,North America
2013,0.23113389182204805,Europe and Central Asia
2014,0.23158866031191558,Europe and Central Asia
2015,0.23156311166469856,Europe and Central Asia
2016,0.2293656866534666,Europe and Central Asia
2017,0.2223054701064052,Europe and Central Asia
2018,0.2120536386921802,Europe and Central Asia
2019,0.21022999398775133,Europe and Central Asia
2020,0.20711374078063013,Europe and Central Asia
2021,0.2076212452627615,Europe and Central Asia
2022,0.18898392834839506,Europe and Central Asia
2023,0.18148800016277863,Europe and Central Asia
2013,0.24390953509665164,Unknown
2014,0.24300743950765782,Unknown
2015,0.2368851000501464,Unknown
2016,0.23983371066602507,Unknown
2017,0.2338969375184606,Unknown
2018,0.2347024257947868,Unknown
2019,0.2163849061987303,Unknown
2020,0.20412809641313684,Unknown
2021,0.18175371968367665,Unknown
2022,0.16914516863348658,Unknown
2023,0.19374048338471034,Unknown
2013,0.2748774205693847,East Asia and Pacific
2014,0.2646586312294548,East Asia and Pacific
2015,0.255091476730455,East Asia and Pacific
2016,0.24802985003983685,East Asia and Pacific
2017,0.2600623878855117,East Asia and Pacific
2018,0.2720747325598915,East Asia and Pacific
2019,0.29134949507301316,East Asia and Pacific
2020,0.29668761616519657,East Asia and Pacific
2021,0.3134108918427357,East Asia and Pacific
2022,0.35074798248194006,East Asia and Pacific
2023,0.34457523255301326,East Asia and Pacific
