Year,AI publication citations in CS (% of total),Label
2013,0.002540620050530162,Sub-Saharan Africa
2014,0.0036092634545186967,Sub-Saharan Africa
2015,0.002560660859796877,Sub-Saharan Africa
2016,0.0025340996763941162,Sub-Saharan Africa
2017,0.0034322014774526666,Sub-Saharan Africa
2018,0.004049025017017991,Sub-Saharan Africa
2019,0.004219902723149808,Sub-Saharan Africa
2020,0.005021739370971011,Sub-Saharan Africa
2021,0.007250436042593998,Sub-Saharan Africa
2022,0.011405909929048092,Sub-Saharan Africa
2023,0.00886117997608658,Sub-Saharan Africa
2013,0.016772043677402877,Latin America and the Caribbean
2014,0.01523281277267511,Latin America and the Caribbean
2015,0.016198297804786807,Latin America and the Caribbean
2016,0.012451870174595403,Latin America and the Caribbean
2017,0.012371001366446864,Latin America and the Caribbean
2018,0.013227441354898681,Latin America and the Caribbean
2019,0.014670971441147112,Latin America and the Caribbean
2020,0.014885214879871456,Latin America and the Caribbean
2021,0.013286674908529288,Latin America and the Caribbean
2022,0.011426259898895393,Latin America and the Caribbean
2023,0.013538869262748016,Latin America and the Caribbean
2013,0.06590183074230228,Unknown
2014,0.06789283511343687,Unknown
2015,0.05652425704706754,Unknown
2016,0.07680776316843467,Unknown
2017,0.0951625092304782,Unknown
2018,0.08338929825447844,Unknown
2019,0.05430139441336592,Unknown
2020,0.053746752452915124,Unknown
2021,0.0496752452830924,Unknown
2022,0.06379417742692003,Unknown
2023,0.07551282155719624,Unknown
2013,0.0379136151550973,South Asia
2014,0.03698409366714195,South Asia
2015,0.04055233960186244,South Asia
2016,0.03846350745895602,South Asia
2017,0.04009916582404044,South Asia
2018,0.045272553186141144,South Asia
2019,0.047142560373672586,South Asia
2020,0.060043627170395054,South Asia
2021,0.06547214864189496,South Asia
2022,0.0798225085556733,South Asia
2023,0.07694382518765518,South Asia
2013,0.031049095918402866,Middle East and North Africa
2014,0.0412584330746212,Middle East and North Africa
2015,0.04850377176018916,Middle East and North Africa
2016,0.04905764015242542,Middle East and North Africa
2017,0.06029362763314695,Middle East and North Africa
2018,0.05003682893827795,Middle East and North Africa
2019,0.05238635202929852,Middle East and North Africa
2020,0.0626575871632597,Middle East and North Africa
2021,0.07076765903498765,Middle East and North Africa
2022,0.0838820793698458,Middle East and North Africa
2023,0.07971984551315646,Middle East and North Africa
2013,0.30094799325825466,North America
2014,0.3169991644329926,North America
2015,0.3114199992809932,North America
2016,0.2651604809338737,North America
2017,0.27697412201227783,North America
2018,0.2652285311156921,North America
2019,0.2351317757392108,North America
2020,0.2037291164539957,North America
2021,0.1871136626895945,North America
2022,0.15222124884290567,North America
2023,0.15592780355877298,North America
2013,0.3107727276362167,Europe and Central Asia
2014,0.29445252668546895,Europe and Central Asia
2015,0.2637448650634239,Europe and Central Asia
2016,0.3166793446935682,Europe and Central Asia
2017,0.24185725383550977,Europe and Central Asia
2018,0.22909656240391277,Europe and Central Asia
2019,0.23653832774018585,Europe and Central Asia
2020,0.2291128107518333,Europe and Central Asia
2021,0.23222828075979712,Europe and Central Asia
2022,0.21674107641413679,Europe and Central Asia
2023,0.21879330460464566,Europe and Central Asia
2013,0.23410207356179313,East Asia and Pacific
2014,0.22357087079914464,East Asia and Pacific
2015,0.2604958085818801,East Asia and Pacific
2016,0.2388452937417525,East Asia and Pacific
2017,0.2698101186206473,East Asia and Pacific
2018,0.30969975972958086,East Asia and Pacific
2019,0.3556087155399694,East Asia and Pacific
2020,0.3708031517567587,East Asia and Pacific
2021,0.3742058926395101,East Asia and Pacific
2022,0.3807067395625749,East Asia and Pacific
2023,0.3707023503397389,East Asia and Pacific
