Year,AI publications in CS (% of total),Label
2013,0.11838346571625578,United States
2014,0.11251612009797557,United States
2015,0.11634644059131768,United States
2016,0.11716920923489664,United States
2017,0.11958565154847892,United States
2018,0.12268187395497575,United States
2019,0.12755417291273768,United States
2020,0.1294481219174714,United States
2021,0.12428139150772277,United States
2022,0.09779221954551527,United States
2023,0.09199462066272857,United States
2013,0.047872769116422347,India
2014,0.05957295804879738,India
2015,0.06733694031440378,India
2016,0.07329428526199146,India
2017,0.07122470259614726,India
2018,0.06709770937041064,India
2019,0.06044047561480144,India
2020,0.06587149682526673,India
2021,0.07440665451736397,India
2022,0.09040134802601242,India
2023,0.09218622340156318,India
2013,0.20337419741920462,Europe
2014,0.2032473883277508,Europe
2015,0.20086056320027265,Europe
2016,0.1977954225440124,Europe
2017,0.18979046633228555,Europe
2018,0.18071369991035838,Europe
2019,0.1808754708059984,Europe
2020,0.17766935526639316,Europe
2021,0.1774978980568229,Europe
2022,0.15996604077692497,Europe
2023,0.15219764726297294,Europe
2013,0.2551423377600272,Unknown
2014,0.25520387055453136,Unknown
2015,0.24946960337408938,Unknown
2016,0.2532431284003899,Unknown
2017,0.2470564058849049,Unknown
2018,0.24752531899067345,Unknown
2019,0.2281038271624838,Unknown
2020,0.21652307647804686,Unknown
2021,0.1936049712556603,Unknown
2022,0.1809018156117616,Unknown
2023,0.2064935252734858,Unknown
2013,0.20372343759794395,Rest of the world
2014,0.20707293641108196,Rest of the world
2015,0.21748391769266817,Rest of the world
2016,0.21874973963323696,Rest of the world
2017,0.2244590408487902,Rest of the world
2018,0.22204421048616277,Rest of the world
2019,0.22711520172794533,Rest of the world
2020,0.2313336772426827,Rest of the world
2021,0.23272458782708155,Rest of the world
2022,0.23630103041246667,Rest of the world
2023,0.2251332181306803,Rest of the world
2013,0.17150379239014604,China
2014,0.16238672655986292,China
2015,0.14850253482724832,China
2016,0.13974821492547262,China
2017,0.14788373278939318,China
2018,0.159937187287419,China
2019,0.17591085177603336,China
2020,0.1791542722701392,China
2021,0.1974844968353485,China
2022,0.23463754562731906,China
2023,0.2319947652685692,China
