Year,AI publication citations in CS (% of total),Label
2013,0.03326702288345558,India
2014,0.031581859430125606,India
2015,0.035569124139371994,India
2016,0.033859667191253905,India
2017,0.034560398775863345,India
2018,0.03637394029522564,India
2019,0.03580576604902726,India
2020,0.046782489436616864,India
2021,0.049953870898918326,India
2022,0.061410749251145924,India
2023,0.06104529339194927,India
2013,0.0655495025775463,Unknown
2014,0.06785302706062968,Unknown
2015,0.05644666126343733,Unknown
2016,0.0767523532646371,Unknown
2017,0.09512649956260257,Unknown
2018,0.08325625196935162,Unknown
2019,0.054249089725730996,Unknown
2020,0.05373379869701408,Unknown
2021,0.04958334429325703,Unknown
2022,0.06370880682170696,Unknown
2023,0.07542321411923582,Unknown
2013,0.2535483303455215,United States
2014,0.25186876692344873,United States
2015,0.2739647280890686,United States
2016,0.24003479982871112,United States
2017,0.24084802287718207,United States
2018,0.23656772068608212,United States
2019,0.2052184288165275,United States
2020,0.17344053645821106,United States
2021,0.15524642617184317,United States
2022,0.12752730494429818,United States
2023,0.1303380915788016,United States
2013,0.3042511286026025,Europe
2014,0.29003061601152264,Europe
2015,0.2581761217840908,Europe
2016,0.31106246683687144,Europe
2017,0.2330920205456761,Europe
2018,0.22346875532407307,Europe
2019,0.23003700309929948,Europe
2020,0.22105611432121375,Europe
2021,0.22536298455446369,Europe
2022,0.20776078362274134,Europe
2023,0.2089509684391742,Europe
2013,0.11518637877676742,China
2014,0.12568849836786983,China
2015,0.14952707505541157,China
2016,0.14275699203723546,China
2017,0.15816790491911267,China
2018,0.18108284949596024,China
2019,0.2135563388100289,China
2020,0.21941125719169588,China
2021,0.21779462953996573,China
2022,0.22967422676318838,China
2023,0.22597547652601918,China
2013,0.22819763681410668,Rest of the world
2014,0.23297723220640354,Rest of the world
2015,0.22631628966861972,Rest of the world
2016,0.19553372084129098,Rest of the world
2017,0.23820515331956324,Rest of the world
2018,0.2392504822293073,Rest of the world
2019,0.2611333734993859,Rest of the world
2020,0.2855758038952484,Rest of the world
2021,0.30205874454155207,Rest of the world
2022,0.3099181285969192,Rest of the world
2023,0.29826695594481994,Rest of the world
