AI Publications (% of Total),Sector,Label
0.7560702401739532,Academia,United States
0.16492603696504465,Industry,United States
0.04022666622739103,Nonprofit,United States
0.038777056633611175,Government,United States
0.7949422988793068,Academia,Europe
0.09623797025371829,Industry,Europe
0.06794983960338291,Government,Europe
0.04086989126359205,Nonprofit,Europe
0.8444774363427547,Academia,China
0.08018431888848428,Industry,China
0.0695677750077033,Government,China
0.005770469761057733,Nonprofit,China
