Year,Granted AI patents (% of world total),Label
2010,0.0012980269989615785,India
2011,0.0010996261271167802,India
2012,0.0019083969465648854,India
2013,0.0017336485421591804,India
2014,0.004048582995951417,India
2015,0.00401455275373228,India
2016,0.004806305873305777,India
2017,0.004304998175848231,India
2018,0.005353989861593666,India
2019,0.005663962581305269,India
2020,0.005244197181814036,India
2021,0.004855096352683789,India
2022,0.004186954331766286,India
2023,0.0036966324084981923,India
2010,0.08566978193146417,Europe
2011,0.07895315592698482,Europe
2012,0.07786259541984733,Europe
2013,0.05894405043341214,Europe
2014,0.06318681318681318,Europe
2015,0.06385647973905408,Europe
2016,0.062001345765644526,Europe
2017,0.06566946369937979,Europe
2018,0.060716523324030304,Europe
2019,0.053350873346488345,Europe
2020,0.040653928587714896,Europe
2021,0.03515449396109929,Europe
2022,0.029550033579583614,Europe
2023,0.02770443189665678,Europe
2010,0.37850467289719625,Rest of the world
2011,0.4073015174840554,Rest of the world
2012,0.36221374045801524,Rest of the world
2013,0.3542947202521671,Rest of the world
2014,0.33053788316946214,Rest of the world
2015,0.2462677204867645,Rest of the world
2016,0.22849178121695665,Rest of the world
2017,0.21627143378329078,Rest of the world
2018,0.20874864726319986,Rest of the world
2019,0.1998830665789666,Rest of the world
2020,0.18701263167495097,Rest of the world
2021,0.17136691941139448,Rest of the world
2022,0.1423249664204164,Rest of the world
2023,0.1299589714424991,Rest of the world
2010,0.40005192107995846,United States
2011,0.3241697822740268,United States
2012,0.34580152671755726,United States
2013,0.3814026792750197,United States
2014,0.4207634470792366,United States
2015,0.42830259691381256,United States
2016,0.39181005479188696,United States
2017,0.3447646844217439,United States
2018,0.28695107364583927,United States
2019,0.31232185924139444,United States
2020,0.2654703816863514,United States
2021,0.2097431594089969,United States
2022,0.1749076561450638,United States
2023,0.14161758134622415,United States
2010,0.13447559709241952,China
2011,0.18847591818781614,China
2012,0.21221374045801528,China
2013,0.2036249014972419,China
2014,0.18146327356853673,China
2015,0.25755865010663653,China
2016,0.3128905123522061,China
2017,0.3689894199197373,China
2018,0.4382297659053369,China
2019,0.42878023825184536,China
2020,0.5016188608691686,China
2021,0.5788803308658255,China
2022,0.6490303895231699,China
2023,0.6970223829061218,China
