Geographic Area,"Granted AI patents (per 100,000 inhabitants) in 2023"
South Korea,17.26851235
Luxembourg,15.30543343
China,6.08154759
United States,5.204605785
Japan,4.577701054
Germany,1.217579251
Singapore,0.980119128
Finland,0.967064124
Sweden,0.740274501
United Kingdom,0.517922458
Denmark,0.470829427
France,0.434925948
Netherlands,0.402749504
Australia,0.382610747
Greece,0.269086187
Austria,0.229966597
Switzerland,0.191267126
Canada,0.174573338
Bulgaria,0.155120625
Portugal,0.141801411
Israel,0.122993666
Spain,0.101348745
Czech Republic,0.092046772
Norway,0.090586373
Belgium,0.084836185
Italy,0.077974725
New Zealand,0.076582872
Estonia,0.072977466
Lithuania,0.069647947
Hong Kong,0.066347315
Poland,0.057240434
Latvia,0.053263877
Slovenia,0.047159556
Malaysia,0.042703048
Hungary,0.041700609
Ireland,0.037681815
Slovak Republic,0.036854539
India,0.031639637
South Africa,0.03163937
Romania,0.031480399
Brazil,0.023680888
Russia,0.019467951
Jordan,0.01748372
Morocco,0.015909842
Saudi Arabia,0.006012453
Chile,0.005086771
Turkey,0.004687905
Argentina,0.004391898
Viet Nam,0.002989471
Colombia,0.001911273
Thailand,0.001394653
Pakistan,0.001212099
Philippines,0.000870389
Mexico,0.000770774
Indonesia,0.000355631
