Training code access type,Year,Number of notable AI models
Open (noncommercial),2014,1
Unknown,2014,30
Open source,2014,1
Unknown,2015,21
Open source,2015,2
Unreleased,2015,5
Open (noncommercial),2016,2
Unreleased,2016,9
Unknown,2016,37
Open source,2016,2
Open source,2017,6
Open (noncommercial),2017,1
Unreleased,2017,11
Unknown,2017,40
Open (noncommercial),2018,1
Unknown,2018,19
Unreleased,2018,15
Open source,2018,16
Unreleased,2019,26
Open (restricted use),2019,1
Open source,2019,33
Unknown,2019,1
Open (noncommercial),2019,11
Unreleased,2020,24
Open source,2020,22
Open (noncommercial),2020,2
Unknown,2020,6
Unknown,2021,14
Open (noncommercial),2021,3
Unreleased,2021,29
Open source,2021,29
Unreleased,2022,28
Open (noncommercial),2022,4
Unknown,2022,38
Open source,2022,16
Open source,2023,13
Unknown,2023,48
Unreleased,2023,37
Open (restricted use),2023,2
Open (noncommercial),2023,5
Open source,2024,2
Open (restricted use),2024,2
Open (noncommercial),2024,2
Unknown,2024,18
Unreleased,2024,37
