Publication date,Training dataset size (datapoints)
12/24/24,1.48E+13
12/9/24,6.5E+12
12/6/24,1.5E+13
11/6/24,7E+12
10/28/24,8.35E+12
10/22/24,45875200000
10/22/24,1.25829E+11
10/22/24,57016320000
10/4/24,26600000000
9/19/24,1.8E+13
9/19/24,1.8E+13
9/17/24,1.8E+13
7/29/24,7.4E+12
7/29/24,7.588E+12
7/23/24,1.56E+13
6/25/24,7.71E+11
6/17/24,3.191E+12
6/14/24,6.75E+12
6/13/24,970000
6/7/24,7E+12
5/20/24,1E+13
4/18/24,1.5E+13
3/29/24,16300
3/27/24,9E+12
3/14/24,1.5E+12
3/4/24,7E+12
2/4/24,3E+12
12/14/23,0
12/14/23,287000000
12/7/23,4096000
12/1/23,305280000
11/30/23,3E+12
11/29/23,69000
11/15/23,3.8E+12
11/7/23,400672000
11/6/23,1518534581
11/5/23,1200000
11/4/23,6.2E+12
11/3/23,38000000000
11/2/23,3.1E+12
10/30/23,3.18E+12
10/27/23,1.4E+12
10/26/23,4390400
10/1/23,60000
9/28/23,4E+12
9/22/23,9000000
9/6/23,2.625E+12
8/29/23,3E+11
8/28/23,21700000001
8/24/23,1400000000
7/26/23,820800000
7/18/23,1.5E+12
7/18/23,1.5E+12
7/6/23,1000000000
6/27/23,2945000000
5/29/23,1400000000
5/18/23,1600000000
5/17/23,3000000
5/10/23,2.7E+12
5/9/23,1E+12
4/14/23,142000000
4/5/23,1100000000
3/30/23,5.32E+11
3/20/23,2.4675E+11
3/15/23,1244420
3/15/23,4.9E+12
3/15/23,1E+12
3/5/23,2.304E+11
2/24/23,1.34E+12
2/10/23,4000000000
2/9/23,197000001
1/27/23,203000
1/16/23,14000000000
1/15/23,3E+11
1/5/23,820800000
12/19/22,2304000000
11/16/22,1.06E+11
11/14/22,29600000
11/10/22,427000000
11/3/22,20000000000
11/3/22,20000000000
11/2/22,1000000000
10/20/22,1E+11
10/11/22,56000000001
10/4/22,17000
9/21/22,9302400000
9/14/22,1600000000
8/10/22,1300000000
8/4/22,4E+11
8/2/22,1.319E+12
7/22/22,8960000001
7/21/22,12000000000
7/11/22,3.79E+11
7/6/22,3.6E+11
7/5/22,10500000000
6/29/22,26000000000
6/27/22,3.5E+11
6/22/22,4800000000
6/14/22,4800000000
5/29/22,5400000
5/27/22,75000000001
5/23/22,860000000
5/12/22,5.24288E+11
5/10/22,1E+12
5/2/22,1.8E+11
4/14/22,1E+11
4/13/22,400000000
4/7/22,78000001
4/6/22,650000000
4/4/22,5.85E+11
3/29/22,1.05E+12
3/2/22,2.75E+11
3/1/22,12000000000
2/17/22,1.5E+12
2/10/22,32000000001
2/10/22,1.56E+12
2/9/22,3.41173E+11
2/7/22,4.1943E+11
1/27/22,3.74E+11
1/23/22,160000001
1/22/22,2290000001
1/20/22,1281167
1/20/22,13132800
1/20/22,3300000000
1/7/22,16900000
12/31/21,145000000
12/23/21,6.68E+11
12/20/21,1740000000
12/20/21,400000000
12/20/21,250000000
12/15/21,2E+11
12/13/21,6E+11
12/8/21,3E+11
11/22/21,900000000
11/19/21,6700000000
11/15/21,4000000000
11/11/21,1281167
11/1/21,3000000
10/12/21,1E+12
10/11/21,2.7E+11
10/4/21,147328
9/21/21,721200000
9/20/21,1.5E+11
9/10/21,5.6E+11
9/6/21,103000000
9/3/21,2.49E+12
8/17/21,1.67E+11
8/15/21,3000000000
8/11/21,41750000000
8/11/21,2.25E+11
8/6/21,2500000
7/29/21,1000000000
7/27/21,820800000
7/27/21,3.9E+11
7/7/21,31800000000
7/5/21,6.68E+11
6/23/21,14180000
6/11/21,3033042
6/11/21,1600000000
6/10/21,15600000000
6/9/21,1.716E+11
6/9/21,3000000000
6/8/21,3000000000
5/26/21,1280000
5/26/21,50000000000
5/11/21,1281167
5/4/21,4.07E+11
5/4/21,8.9E+12
3/5/21,1.9E+12
3/5/21,56800000000
3/1/21,130000000
2/13/21,9.2976E+12
1/15/21,1280000
1/11/21,5.76E+11
1/10/21,42626880000
1/5/21,250000000
1/5/21,400000000
1/5/21,400000000
12/23/20,58000000
12/1/20,16700000000
11/30/20,530000
11/23/20,3300000000
10/26/20,1280000
10/22/20,727776000
10/22/20,1280000
10/21/20,36383733333
10/21/20,27287800000
10/20/20,1E+12
10/2/20,3500000000
9/1/20,58320000
8/6/20,86000000000
6/30/20,3.46667E+11
6/17/20,1229920
6/17/20,1229920
5/28/20,3.74E+11
5/26/20,123000
5/7/20,1710000000
5/2/20,97309860
3/23/20,25000000000
2/13/20,46400000000
2/9/20,3300000000
1/28/20,40000000000
1/15/20,300000001
12/13/19,53084160000
12/13/19,4.54321E+11
11/19/19,20000000000
11/11/19,81000000
11/10/19,31900000000
11/5/19,1.2525E+11
10/23/19,2E+11
10/23/19,25500000000
10/2/19,1480000
9/26/19,3300000000
9/17/19,34800000000
9/17/19,46400000000
9/6/19,50000
7/1/19,32000000000
6/17/19,60000
6/14/19,940000000
5/29/19,1280000
5/29/19,118000
5/2/19,1090000000
3/26/19,3300000000
