Publication date,Training compute (petaFLOP - log scale),Label
2024-12-24,4560000000.0,Language
2024-09-19,7800000000.0,Language
2024-07-24,21300000000.0,Language
2023-07-18,810000000.0,Language
2023-07-11,3870000000.0,Language
2022-04-04,2530000000.0,Language
2021-12-23,1040000000.0,Language
2021-10-11,1170000000.0,Language
2020-05-28,314000000.0,Language
2019-07-01,8510000.0,Language
2018-10-11,285000.0,Language
2017-06-12,7424.52,Language
2023-04-05,7800000.0,Vision
2012-09-30,470.0,Vision
2024-06-20,36500000000.0,Multimodal
2024-05-13,38100000000.0,Multimodal
2024-02-15,15800000000.0,Multimodal
2023-03-15,21000000000.0,Multimodal
