Publication date,Training compute (petaFLOP – log scale),Label
2018-02-01,360.0,United States
2018-03-22,240.0,United States
2018-05-03,127.0,United States
2018-06-01,17578.125,United States
2018-08-28,478080.0,United States
2018-09-17,11000.0,United States
2018-09-28,44700.0,United States
2018-10-11,285000.0,United States
2018-11-05,161740.8,United States
2018-11-05,68428.8,United States
2019-02-14,1920000.000001,United States
2019-04-20,521000.0,United States
2019-06-01,6190000.000000001,United States
2019-07-01,8506700.0,United States
2019-09-17,22000000.0,United States
2019-09-17,9100000.0,United States
2019-10-23,9000000.0001,United States
2019-10-23,32999999.999999996,United States
2019-11-05,20760000.000000004,United States
2019-11-10,158000.0,United States
2020-01-28,112000000.0,United States
2020-02-09,2390000.0,United States
2020-02-13,15699999.999999998,United States
2020-03-17,1580.0,United States
2020-03-23,3099999.9999999995,United States
2020-05-02,38257.92,United States
2020-05-02,16500.0,United States
2020-05-28,314000000.0,United States
2020-06-30,47650000.0,United States
2020-08-03,24000.0,United States
2021-01-05,10499999.999999998,United States
2021-01-11,82200000.0,United States
2021-03-05,14490000.0,United States
2021-06-10,25880000.000000004,United States
2021-07-07,73440000.0,United States
2021-08-17,33660000.00000001,United States
2021-10-11,1170000000.0,United States
2021-10-31,600000.0,United States
2021-12-13,363631124.34000003,United States
2021-12-20,22500000.0,United States
2022-01-27,319181000.0,United States
2022-02-10,355000000.0,United States
2022-05-02,430000000.0,United States
2022-06-29,2741500000.0,United States
2022-08-02,204374016.0,United States
2022-09-14,169000000.0,United States
2022-10-20,2530000000.0,United States
2022-10-20,2499999999.9999995,United States
2022-11-16,324000000.0,United States
2022-11-28,2578000000.0,United States
2023-02-24,550000000.0,United States
2023-03-15,21000000000.0,United States
2023-03-30,235999999.99999997,United States
2023-05-10,7340000000.0,United States
2023-07-11,3866000000.0,United States
2023-07-18,810000000.0,United States
2023-09-28,4800000000.0,United States
2023-11-04,2900000000.01,United States
2023-11-06,22000000000.0,United States
2023-11-22,10010000000.0,United States
2024-03-04,16400009999.999998,United States
2024-03-07,10001000000.0,United States
2024-04-15,8400010000.000001,United States
2024-04-18,7860999999.999999,United States
2024-05-13,38100010000.0,United States
2024-06-14,18000000000.000004,United States
2024-06-20,36500010000.0,United States
2024-07-18,7360010000.0,United States
2024-07-23,38000000000.0,United States
2024-08-13,29599999999.999996,United States
2019-06-24,4760.0,China
2020-05-06,2890.0,China
2020-08-06,200000.0,China
2020-12-01,1800000.0,China
2020-12-31,29100.0,China
2021-03-05,5500000.0,China
2021-04-19,35997695.99999999,China
2021-07-05,22500000.0,China
2021-08-11,801599.9999999999,China
2021-09-06,2775.0,China
2021-09-20,9900000.000000002,China
2021-10-12,353800000.00001,China
2021-12-23,1042100000.0,China
2022-08-04,354900549.45,China
2023-03-20,466999999.9999999,China
2023-05-18,180000.0,China
2023-10-27,50400000.0,China
2023-10-30,250000000.0,China
2023-11-02,610000000.0,China
2023-11-06,63310000.00000001,China
2023-11-30,1300000000.0,China
2023-12-14,67070000.0,China
2024-02-04,1300000000.0,China
2024-02-23,3900000000.0,China
2024-06-07,3020000000.0,China
2024-08-29,36000000000.00001,China
2024-09-17,3510000000.0,China
2024-09-19,7851600000.000001,China
2024-09-19,7800000000.0,China
2024-10-28,25050000000.0,China
2024-11-06,3492370000.0,China
2024-12-24,4560000000.0,China
