Year,Number of notable AI models,Label
2003,1,Europe
2005,3,Europe
2006,6,Europe
2007,5,Europe
2008,2,Europe
2010,2,Europe
2011,1,Europe
2012,5,Europe
2013,10,Europe
2014,10,Europe
2015,6,Europe
2016,9,Europe
2017,14,Europe
2018,11,Europe
2019,16,Europe
2020,12,Europe
2021,18,Europe
2022,14,Europe
2023,16,Europe
2024,3,Europe
2014,2,China
2015,4,China
2016,6,China
2017,9,China
2018,4,China
2019,6,China
2020,8,China
2021,16,China
2022,11,China
2023,21,China
2024,15,China
2003,4,United States
2004,2,United States
2005,5,United States
2006,6,United States
2007,5,United States
2008,4,United States
2009,9,United States
2010,7,United States
2011,10,United States
2012,7,United States
2013,16,United States
2014,19,United States
2015,21,United States
2016,37,United States
2017,36,United States
2018,37,United States
2019,59,United States
2020,40,United States
2021,54,United States
2022,65,United States
2023,75,United States
2024,40,United States
