Model-fitting iteration,Method,Model,Cross entropy (test)
1,Replace,GPT-2 (9M),1.82
2,Replace,GPT-2 (9M),2.12
3,Replace,GPT-2 (9M),2.26
4,Replace,GPT-2 (9M),2.39
5,Replace,GPT-2 (9M),2.5
1,Replace,Llama-2 (12M),2.1
2,Replace,Llama-2 (12M),2.3
3,Replace,Llama-2 (12M),2.5
4,Replace,Llama-2 (12M),2.7
5,Replace,Llama-2 (12M),2.8
1,Replace,Llama-2 (42M),1.9
2,Replace,Llama-2 (42M),2.16
3,Replace,Llama-2 (42M),2.35
4,Replace,Llama-2 (42M),2.5
5,Replace,Llama-2 (42M),2.6
1,Replace,Llama-2 (126M),1.7
2,Replace,Llama-2 (126M),1.9
3,Replace,Llama-2 (126M),2.1
4,Replace,Llama-2 (126M),2.23
5,Replace,Llama-2 (126M),2.4
1,Accumulate,GPT-2 (9M),1.83
2,Accumulate,GPT-2 (9M),1.8
3,Accumulate,GPT-2 (9M),1.775
4,Accumulate,GPT-2 (9M),1.767
5,Accumulate,GPT-2 (9M),1.76
1,Accumulate,Llama-2 (12M),2.04
2,Accumulate,Llama-2 (12M),1.96
3,Accumulate,Llama-2 (12M),1.94
4,Accumulate,Llama-2 (12M),1.92
5,Accumulate,Llama-2 (12M),1.91
1,Accumulate,Llama-2 (42M),1.9
2,Accumulate,Llama-2 (42M),1.825
3,Accumulate,Llama-2 (42M),1.79
4,Accumulate,Llama-2 (42M),1.77
5,Accumulate,Llama-2 (42M),1.76
1,Accumulate,Llama-2 (126M),1.75
2,Accumulate,Llama-2 (126M),1.7
3,Accumulate,Llama-2 (126M),1.65
4,Accumulate,Llama-2 (126M),1.6
5,Accumulate,Llama-2 (126M),1.58
