System,Publication date,Training cost (inflation-adjusted) in U.S. dollars
Grok-2,2024-08-13,107319380.67600285
Llama 3.1-405B,2024-07-23,169828008.27813357
Nemotron-4 340B,2024-06-14,65529675.51362376
Inflection-2.5,2024-03-07,36416467.03034485
Mistral Large,2024-02-26,40689894.009676255
MegaScale (Production),2024-02-23,8967297.435299827
Gemini 1.5 Pro,2024-02-15,61622701.76076987
Gemini 1.0 Ultra,2023-12-06,191914563.67775923
Inflection-2,2023-11-22,36601478.72385186
Amazon Titan,2023-09-28,23189104.01528357
Falcon-180B,2023-09-06,25885511.45892119
Llama 2-70B,2023-07-18,3139930.1570765916
xTrimoPGLM -100B,2023-07-06,4120321.925142495
PaLM 2,2023-05-10,29040543.37532414
GPT-4,2023-03-15,78562016.88093337
LLaMA-65B,2023-02-24,1507792.9294046576
GPT-3.5,2022-11-28,8514142.895106867
BLOOM-176B,2022-07-11,1983620.483913066
Parti,2022-06-22,1581237.6314503308
OPT-175B,2022-05-02,1489702.370287431
PaLM (540B),2022-04-04,12422258.89096173
LaMDA,2022-02-10,1323121.987770984
GLaM,2021-12-13,2098625.2999081025
Gopher (280B),2021-12-08,3509187.152671094
Megatron-Turing NLG 530B,2021-10-11,6422819.690590306
HyperCLOVA 82B,2021-09-10,989617.003428202
Jurassic-1-Jumbo,2021-08-11,1318117.3926225128
ByT5-XXL,2021-05-28,455231.29410268913
ProtT5-XXL,2021-05-04,414204.2762391135
Meta Pseudo Labels,2021-03-01,252065.088
Switch,2021-01-11,621402.2744829991
DALL-E,2021-01-05,356463.0793374019
GShard (dense),2020-06-30,971708.8054969328
iGPT-XL,2020-06-17,237280.0841367222
GPT-3 175B (davinci),2020-05-28,4336473.295238095
Meena,2020-01-28,698978.5317563991
OpenAI Five,2019-12-13,10697511.391817143
OpenAI Five Rerun,2019-12-13,1015114.9513568868
Noisy Student (L2),2019-11-11,141798.15156311548
XLM-RoBERTa,2019-11-05,159050.32078782454
AlphaStar,2019-10-30,381279.4742030438
T5-3B,2019-10-23,50962.6394747676
T5-11B,2019-10-23,231993.34287341087
Megatron-BERT,2019-09-17,251884.3961806452
Megatron-LM (8.3B),2019-09-17,216649.49140645165
RoBERTa Large,2019-07-01,160446.49362748646
XLNet,2019-06-01,35463.708809551856
MnasNet-A1 + SSDLite,2019-05-29,26350.179798185116
GPT-2 (1.5B),2019-02-14,11010.02469245574
BigGAN-deep 512x512,2018-09-28,11679.395932669682
ResNeXt-101 32x48d,2018-05-02,221603.0719304348
JFT,2017-07-10,33530.35426497278
Xception,2016-10-07,20339.69746788991
GNMT,2016-09-26,308734.94955137616
