System,Training compute (petaFLOP),Training cost (inflation-adjusted) in U.S. dollars
Grok-2,29599999999.999996,107319380.67600285
Llama 3.1-405B,38000000000.0,169828008.27813357
Mistral Large,11200000000.0,40689894.009676255
Gemini 1.0 Ultra,50000000001.0,191914563.67775923
Falcon-180B,3760000000.0,25885511.45892119
Llama 2-70B,810000000.0,3139930.1570765916
PaLM 2,7340000000.0,29040543.37532414
GPT-4,21000000000.0,78562016.88093337
PaLM (540B),2527200000.0,12422258.89096173
LaMDA,355000000.0,1323121.987770984
Megatron-Turing NLG 530B,1170000000.0,6422819.690590306
GPT-3 175B (davinci),314000000.0,4336473.295238095
RoBERTa Large,8506700.0,160446.49362748646
