Year,Notable AI models (% of total),Label
2003,83.33%,Academia
2004,100.00%,Academia
2005,85.71%,Academia
2006,91.67%,Academia
2007,60.00%,Academia
2008,70.00%,Academia
2009,36.36%,Academia
2010,75.00%,Academia
2011,75.00%,Academia
2012,66.67%,Academia
2013,59.26%,Academia
2014,56.25%,Academia
2015,22.22%,Academia
2016,38.00%,Academia
2017,32.76%,Academia
2018,19.61%,Academia
2019,18.06%,Academia
2020,16.67%,Academia
2021,12.00%,Academia
2022,17.44%,Academia
2023,15.24%,Academia
2024,0.00%,Academia
2003,0.00%,Academia–government collaboration
2004,0.00%,Academia–government collaboration
2005,0.00%,Academia–government collaboration
2006,0.00%,Academia–government collaboration
2007,0.00%,Academia–government collaboration
2008,0.00%,Academia–government collaboration
2009,0.00%,Academia–government collaboration
2010,0.00%,Academia–government collaboration
2011,0.00%,Academia–government collaboration
2012,0.00%,Academia–government collaboration
2013,0.00%,Academia–government collaboration
2014,3.13%,Academia–government collaboration
2015,0.00%,Academia–government collaboration
2016,0.00%,Academia–government collaboration
2017,0.00%,Academia–government collaboration
2018,1.96%,Academia–government collaboration
2019,0.00%,Academia–government collaboration
2020,0.00%,Academia–government collaboration
2021,1.33%,Academia–government collaboration
2022,0.00%,Academia–government collaboration
2023,0.00%,Academia–government collaboration
2024,0.00%,Academia–government collaboration
2003,0.00%,Academia–research collective collaboration
2004,0.00%,Academia–research collective collaboration
2005,0.00%,Academia–research collective collaboration
2006,0.00%,Academia–research collective collaboration
2007,0.00%,Academia–research collective collaboration
2008,0.00%,Academia–research collective collaboration
2009,0.00%,Academia–research collective collaboration
2010,0.00%,Academia–research collective collaboration
2011,0.00%,Academia–research collective collaboration
2012,0.00%,Academia–research collective collaboration
2013,0.00%,Academia–research collective collaboration
2014,0.00%,Academia–research collective collaboration
2015,0.00%,Academia–research collective collaboration
2016,4.00%,Academia–research collective collaboration
2017,3.45%,Academia–research collective collaboration
2018,1.96%,Academia–research collective collaboration
2019,2.78%,Academia–research collective collaboration
2020,5.56%,Academia–research collective collaboration
2021,0.00%,Academia–research collective collaboration
2022,0.00%,Academia–research collective collaboration
2023,0.00%,Academia–research collective collaboration
2024,0.00%,Academia–research collective collaboration
2003,0.00%,Research collective
2004,0.00%,Research collective
2005,0.00%,Research collective
2006,0.00%,Research collective
2007,0.00%,Research collective
2008,0.00%,Research collective
2009,0.00%,Research collective
2010,0.00%,Research collective
2011,0.00%,Research collective
2012,0.00%,Research collective
2013,0.00%,Research collective
2014,0.00%,Research collective
2015,0.00%,Research collective
2016,0.00%,Research collective
2017,0.00%,Research collective
2018,0.00%,Research collective
2019,2.78%,Research collective
2020,0.00%,Research collective
2021,0.00%,Research collective
2022,1.16%,Research collective
2023,0.00%,Research collective
2024,0.00%,Research collective
2003,0.00%,Industry–research collective collaboration
2004,0.00%,Industry–research collective collaboration
2005,0.00%,Industry–research collective collaboration
2006,0.00%,Industry–research collective collaboration
2007,0.00%,Industry–research collective collaboration
2008,0.00%,Industry–research collective collaboration
2009,0.00%,Industry–research collective collaboration
2010,0.00%,Industry–research collective collaboration
2011,0.00%,Industry–research collective collaboration
2012,0.00%,Industry–research collective collaboration
2013,0.00%,Industry–research collective collaboration
2014,0.00%,Industry–research collective collaboration
2015,0.00%,Industry–research collective collaboration
2016,0.00%,Industry–research collective collaboration
2017,0.00%,Industry–research collective collaboration
2018,0.00%,Industry–research collective collaboration
2019,1.39%,Industry–research collective collaboration
2020,0.00%,Industry–research collective collaboration
2021,0.00%,Industry–research collective collaboration
2022,2.33%,Industry–research collective collaboration
2023,0.00%,Industry–research collective collaboration
2024,0.00%,Industry–research collective collaboration
2003,0.00%,Government
2004,0.00%,Government
2005,0.00%,Government
2006,0.00%,Government
2007,0.00%,Government
2008,0.00%,Government
2009,0.00%,Government
2010,0.00%,Government
2011,0.00%,Government
2012,0.00%,Government
2013,0.00%,Government
2014,0.00%,Government
2015,0.00%,Government
2016,0.00%,Government
2017,0.00%,Government
2018,0.00%,Government
2019,0.00%,Government
2020,0.00%,Government
2021,0.00%,Government
2022,0.00%,Government
2023,1.90%,Government
2024,0.00%,Government
2003,0.00%,Industry–government collaboration
2004,0.00%,Industry–government collaboration
2005,0.00%,Industry–government collaboration
2006,0.00%,Industry–government collaboration
2007,0.00%,Industry–government collaboration
2008,0.00%,Industry–government collaboration
2009,0.00%,Industry–government collaboration
2010,0.00%,Industry–government collaboration
2011,0.00%,Industry–government collaboration
2012,0.00%,Industry–government collaboration
2013,0.00%,Industry–government collaboration
2014,0.00%,Industry–government collaboration
