Model Accessibility,Year,Number of notable AI models
Unknown,2014,30
Unreleased,2014,2
Unreleased,2015,7
Unknown,2015,19
Open weights (unrestricted),2015,2
Open weights (unrestricted),2016,1
Hosted access (no API),2016,1
Unreleased,2016,10
Open weights (noncommercial),2016,2
Unknown,2016,36
Open weights (unrestricted),2017,1
Unreleased,2017,19
Unknown,2017,38
Open weights (unrestricted),2018,10
Open weights (noncommercial),2018,1
Unreleased,2018,23
Unknown,2018,17
Open weights (noncommercial),2019,9
Unreleased,2019,36
Open weights (unrestricted),2019,27
Unknown,2020,4
Open weights (unrestricted),2020,27
Unreleased,2020,21
API access,2020,1
Open weights (noncommercial),2020,1
Unknown,2021,13
Open weights (unrestricted),2021,32
Unreleased,2021,19
API access,2021,4
Open weights (noncommercial),2021,5
Hosted access (no API),2021,2
Unreleased,2022,22
Open weights (restricted use),2022,2
Open weights (unrestricted),2022,20
API access,2022,5
Open weights (noncommercial),2022,10
Hosted access (no API),2022,1
Unknown,2022,26
API access,2023,12
Hosted access (no API),2023,1
Open weights (restricted use),2023,16
Unknown,2023,30
Open weights (noncommercial),2023,12
Open weights (unrestricted),2023,20
Unreleased,2023,14
Open weights (restricted use),2024,11
Hosted access (no API),2024,5
API access,2024,20
Open weights (noncommercial),2024,6
Open weights (unrestricted),2024,7
Unknown,2024,2
Unreleased,2024,10
