Publication date,Performance (FLOP/s - log scale),Label
2024-11-18,66910000000000.0,FP32
2024-10-10,163400000000000.0,FP32
2024-06-02,180000000000000.0,FP32
2024-04-10,2760000000000.0,FP32
2024-03-18,62080000000000.0,FP32
2023-12-19,25000000000000.0,FP32
2023-12-06,163400000000000.0,FP32
2023-11-26,27600000000000.0,FP32
2023-11-09,44000000000000.0,FP32
2023-11-09,24100000000000.0,FP32
2023-09-16,59350000000000.0,FP32
2023-08-08,66910000000000.0,FP32
2023-06-13,15000000000000.0,FP32
2023-05-18,1600000000000.0,FP32
2023-03-21,59300000000000.0,FP32
2023-02-08,29150000000000.0,FP32
2023-01-10,22220000000000.0,FP32
2023-01-10,44440000000000.0,FP32
2023-01-10,52430000000000.0,FP32
2023-01-04,47870000000000.0,FP32
2023-01-04,122600000000000.0,FP32
2023-01-01,32000000000000.0,FP32
2023-01-01,18000000000000.0,FP32
2022-12-20,24000000000000.0,FP32
2022-11-08,19490000000000.0,FP32
2022-11-03,61420000000000.0,FP32
2022-11-03,19500000000000.0,FP32
2022-10-13,90520000000000.0,FP32
2022-09-20,51220000000000.0,FP32
2022-09-20,82600000000000.0,FP32
2022-09-20,66910000000000.0,FP32
2022-09-20,48740000000000.0,FP32
2022-08-22,256000000000000.0,FP32
2022-03-29,40000000000000.0,FP32
2022-03-21,24000000000000.0,FP32
2022-03-17,94000000000000.0,FP32
2022-01-01,18000000000000.0,FP32
2022-01-01,20000000000000.0,FP32
2022-01-01,32000000000000.0,FP32
2022-01-01,32000000000000.0,FP32
2021-11-08,47870000000000.0,FP32
2021-11-03,18000000000000.0,FP32
2021-11-03,24000000000000.0,FP32
2021-11-03,18000000000000.0,FP32
2021-11-03,18000000000000.0,FP32
2021-08-21,22600000000000.0,FP32
2021-04-12,19170000000000.0,FP32
2021-04-12,31500000000000.0,FP32
2021-04-12,27770000000000.0,FP32
2021-04-12,31240000000000.0,FP32
2021-03-31,32000000000000.0,FP32
2020-11-16,19490000000000.0,FP32
2020-10-05,38700000000000.0,FP32
2020-10-05,37420000000000.0,FP32
2020-09-01,29770000000000.0,FP32
2020-09-01,35580000000000.0,FP32
2020-06-22,19490000000000.0,FP32
2020-05-14,19490000000000.0,FP32
2020-03-01,19500000000000.0,FP32
2020-01-01,16000000000000.0,FP32
2019-11-26,16350000000000.0,FP32
2019-01-01,16000000000000.0,FP32
2018-11-13,7119000000000.0,FP32
2018-09-20,13450000000000.0,FP32
2018-09-13,8141000000000.0,FP32
2018-08-13,16310000000000.0,FP32
2018-08-13,11150000000000.0,FP32
2018-08-13,16300000000000.0,FP32
2018-03-27,16200000000000.0,FP32
2018-03-27,14130000000000.0,FP32
2018-03-27,15670000000000.0,FP32
2018-03-27,15670000000000.0,FP32
2018-03-27,15670000000000.0,FP32
2017-12-01,14900000000000.0,FP32
2017-07-01,15670000000000.0,FP32
2017-06-21,15670000000000.0,FP32
2017-06-21,14130000000000.0,FP32
2017-06-21,15670000000000.0,FP32
2017-05-01,3000000000000.0,FP32
2017-04-06,12150000000000.0,FP32
2017-03-10,11340000000000.0,FP32
2017-02-07,1196000000000.0,FP32
2017-02-06,5304000000000.0,FP32
2016-10-01,8873000000000.0,FP32
2016-10-01,12630000000000.0,FP32
2016-09-13,11760000000000.0,FP32
2016-09-13,5704000000000.0,FP32
2016-06-20,9560000000000.0,FP32
2016-05-27,8873000000000.0,FP32
2016-04-05,9300000000000.0,FP32
2015-11-10,6832000000000.0,FP32
2015-08-30,9650000000000.0,FP32
2015-06-29,2573000000000.0,FP32
2015-03-17,6691000000000.0,FP32
2015-01-28,1151000000000.0,FP32
2014-11-17,8126000000000.0,FP32
2014-09-19,4981000000000.0,FP32
2014-02-18,5645000000000.0,FP32
2013-11-22,5046000000000.0,FP32
2013-11-22,5046000000000.0,FP32
2013-07-23,5196000000000.0,FP32
2013-05-23,4156000000000.0,FP32
2013-03-01,1244000000000.0,FP32
2013-02-19,4709000000000.0,FP32
2012-11-12,3520000000000.0,FP32
2012-11-12,3935000000000.0,FP32
2011-07-25,1028000000000.0,FP32
2010-11-09,1581000000000.0,FP32
