Publication date,Cumulative number of notable AI models,Label
2017-06-01,1,P100
2018-02-01,2,P100
2018-03-01,3,P100
2018-06-01,4,P100
2019-12-01,6,P100
2023-11-01,1,H100
2024-02-01,2,H100
2024-03-01,4,H100
2024-04-01,6,H100
2024-06-01,7,H100
2024-07-01,8,H100
2024-08-01,10,H100
2024-10-01,14,H100
2024-12-01,15,H100
2021-11-01,1,TPU v4
2021-12-01,2,TPU v4
2022-02-01,3,TPU v4
2022-03-01,4,TPU v4
2022-04-01,6,TPU v4
2022-05-01,8,TPU v4
2022-06-01,11,TPU v4
2022-09-01,12,TPU v4
2022-10-01,15,TPU v4
2023-01-01,16,TPU v4
2023-02-01,17,TPU v4
2023-05-01,18,TPU v4
2023-07-01,19,TPU v4
2023-11-01,20,TPU v4
2023-12-01,22,TPU v4
2024-02-01,24,TPU v4
2024-07-01,25,TPU v4
2017-01-01,2,Other
2017-07-01,4,Other
2017-08-01,5,Other
2017-10-01,7,Other
2017-12-01,8,Other
2018-01-01,9,Other
2018-02-01,10,Other
2018-04-01,11,Other
2018-06-01,12,Other
2018-07-01,13,Other
2018-10-01,15,Other
2018-11-01,17,Other
2019-04-01,18,Other
2019-10-01,19,Other
2020-12-01,20,Other
2021-08-01,21,Other
2022-02-01,23,Other
2022-10-01,24,Other
2022-12-01,25,Other
2023-03-01,26,Other
2023-05-01,27,Other
2023-08-01,29,Other
2023-09-01,30,Other
2023-10-01,32,Other
2023-11-01,33,Other
2023-12-01,35,Other
2024-07-01,36,Other
2024-12-01,37,Other
2018-09-01,1,TPU v3
2019-02-01,2,TPU v3
2019-03-01,3,TPU v3
2019-05-01,5,TPU v3
2019-06-01,6,TPU v3
2019-09-01,7,TPU v3
2019-10-01,10,TPU v3
2019-11-01,11,TPU v3
2019-12-01,12,TPU v3
2020-01-01,14,TPU v3
2020-02-01,16,TPU v3
2020-05-01,18,TPU v3
2020-06-01,19,TPU v3
2020-10-01,23,TPU v3
2020-11-01,24,TPU v3
2021-01-01,25,TPU v3
2021-03-01,26,TPU v3
2021-05-01,30,TPU v3
2021-06-01,35,TPU v3
2021-07-01,36,TPU v3
2021-09-01,37,TPU v3
2021-10-01,39,TPU v3
2021-11-01,40,TPU v3
2021-12-01,42,TPU v3
2022-02-01,43,TPU v3
2022-05-01,44,TPU v3
2022-06-01,45,TPU v3
2023-03-01,46,TPU v3
2024-01-01,47,TPU v3
2018-05-01,1,V100
2018-08-01,2,V100
2018-09-01,4,V100
2019-02-01,6,V100
2019-04-01,7,V100
2019-07-01,8,V100
2019-09-01,10,V100
2019-11-01,12,V100
2019-12-01,13,V100
2020-02-01,15,V100
2020-04-01,16,V100
2020-05-01,19,V100
2020-06-01,21,V100
2020-09-01,22,V100
2020-10-01,24,V100
2020-12-01,26,V100
2021-01-01,29,V100
2021-02-01,30,V100
2021-03-01,31,V100
2021-04-01,32,V100
2021-05-01,35,V100
2021-06-01,36,V100
2021-07-01,38,V100
2021-08-01,39,V100
2021-09-01,42,V100
2021-11-01,43,V100
2021-12-01,44,V100
2022-01-01,45,V100
2022-06-01,46,V100
2022-07-01,47,V100
2023-01-01,49,V100
2023-04-01,50,V100
2023-05-01,51,V100
2023-07-01,52,V100
2023-10-01,54,V100
2023-11-01,55,V100
2023-12-01,56,V100
2021-04-01,1,A100
2021-06-01,2,A100
2021-08-01,3,A100
2021-09-01,4,A100
2021-10-01,5,A100
2021-11-01,8,A100
2021-12-01,10,A100
2022-02-01,11,A100
2022-04-01,12,A100
2022-05-01,14,A100
2022-07-01,18,A100
2022-08-01,21,A100
2022-10-01,22,A100
2022-11-01,30,A100
2023-01-01,33,A100
2023-02-01,34,A100
2023-03-01,39,A100
2023-04-01,42,A100
2023-05-01,46,A100
2023-06-01,47,A100
2023-07-01,51,A100
2023-08-01,52,A100
2023-09-01,55,A100
2023-10-01,56,A100
2023-11-01,60,A100
2023-12-01,62,A100
2024-02-01,63,A100
2024-06-01,64,A100
2024-10-01,65,A100
