Publication date,Energy efficiency (FLOP/s per watt - log scale),Label
2014-02-18,,Non-leading hardware
2014-09-19,,Non-leading hardware
2014-11-17,,Non-leading hardware
2015-01-28,,Non-leading hardware
2015-03-17,,Non-leading hardware
2015-05-15,,Non-leading hardware
2015-06-29,,Non-leading hardware
2015-08-30,,Non-leading hardware
2015-11-10,,Non-leading hardware
2016-05-27,770000000.0,Non-leading hardware
2016-06-20,76400000000.0,Non-leading hardware
2016-09-13,1188266666.6666667,Non-leading hardware
2016-09-13,734800000.0,Non-leading hardware
2016-10-01,770000000.0,Non-leading hardware
2016-10-01,789600000.0,Non-leading hardware
2017-02-06,789333333.3333334,Non-leading hardware
2017-02-07,467000000.0,Non-leading hardware
2017-03-10,708800000.0,Non-leading hardware
2017-04-06,759200000.0,Non-leading hardware
2017-06-21,416666666666.6667,Non-leading hardware
2017-06-21,448000000000.0,Non-leading hardware
2017-06-21,416666666666.6667,Non-leading hardware
2017-07-01,416666666666.6667,Non-leading hardware
2017-12-01,119200000000.0,Non-leading hardware
2018-03-27,448000000000.0,Non-leading hardware
2018-03-27,500000000000.0,Non-leading hardware
2018-03-27,416666666666.6667,Non-leading hardware
2018-03-27,500000000000.0,Non-leading hardware
2018-08-13,125461538461.53847,Non-leading hardware
2018-08-13,96956521739.13043,Non-leading hardware
2018-08-13,125461538461.53847,Non-leading hardware
2018-09-13,930428571428.5714,Non-leading hardware
2018-09-20,455200000000.0,Non-leading hardware
2018-10-10,1000000000000.0,Non-leading hardware
2018-11-13,89000000000.0,Non-leading hardware
2019-01-01,426666666666.6667,Non-leading hardware
2019-06-20,,Non-leading hardware
2019-06-20,,Non-leading hardware
2019-08-23,1032258064516.129,Non-leading hardware
2019-08-23,825806451612.9032,Non-leading hardware
2019-09-25,,Non-leading hardware
2019-11-19,,Non-leading hardware
2019-11-26,520000000000.0,Non-leading hardware
2020-01-01,426666666666.6667,Non-leading hardware
2020-05-14,780000000000.0,Non-leading hardware
2020-06-22,1040000000000.0,Non-leading hardware
2020-09-01,101657142857.14285,Non-leading hardware
2020-09-01,93031250000.0,Non-leading hardware
2020-10-05,499000000000.0,Non-leading hardware
2020-10-05,129000000000.0,Non-leading hardware
2020-11-16,780000000000.0,Non-leading hardware
2021-01-21,,Non-leading hardware
2021-03-31,512000000000.0,Non-leading hardware
2021-04-12,208266666666.66666,Non-leading hardware
2021-04-12,120739130434.78261,Non-leading hardware
2021-04-12,136928571428.57143,Non-leading hardware
2021-04-12,210000000000.0,Non-leading hardware
2021-04-20,,Non-leading hardware
2021-07-01,70000000000.0,Non-leading hardware
2021-08-18,853333333333.3334,Non-leading hardware
2021-08-21,905000000000.0,Non-leading hardware
2021-11-03,960000000000.0,Non-leading hardware
2021-11-03,960000000000.0,Non-leading hardware
2021-11-03,640000000000.0,Non-leading hardware
2021-11-03,960000000000.0,Non-leading hardware
2021-11-08,766000000000.0,Non-leading hardware
2022-01-01,850000000000.0,Non-leading hardware
2022-01-01,853333333333.3334,Non-leading hardware
2022-01-01,800000000000.0,Non-leading hardware
2022-01-01,853333333333.3334,Non-leading hardware
2022-03-17,,Non-leading hardware
2022-03-21,384000000000.0,Non-leading hardware
2022-03-29,355555555555.55554,Non-leading hardware
2022-07-01,,Non-leading hardware
2022-08-11,,Non-leading hardware
2022-08-22,1861818181818.182,Non-leading hardware
2022-09-20,152312500000.0,Non-leading hardware
2022-09-20,733333333333.3334,Non-leading hardware
2022-09-20,2160000000000.0,Non-leading hardware
2022-10-13,603333333333.3334,Non-leading hardware
2022-11-03,366567164179.1045,Non-leading hardware
2022-11-03,1299166666666.6667,Non-leading hardware
2022-11-08,,Non-leading hardware
2022-12-20,,Non-leading hardware
2023-01-01,622222222222.2222,Non-leading hardware
2023-01-01,984615384615.3846,Non-leading hardware
2023-01-04,1290263157894.7368,Non-leading hardware
2023-01-04,638333333333.3334,Non-leading hardware
2023-01-10,87383333333.33333,Non-leading hardware
2023-01-10,98755555555.55556,Non-leading hardware
2023-01-10,74066666666.66667,Non-leading hardware
2023-02-08,102280701754.38597,Non-leading hardware
2023-03-21,1412857142857.1428,Non-leading hardware
2023-05-18,2048000000000.0,Non-leading hardware
2023-06-07,,Non-leading hardware
2023-06-13,685714285714.2858,Non-leading hardware
2023-08-08,1413571428571.4285,Non-leading hardware
2023-09-16,434545454545.4545,Non-leading hardware
2023-11-09,,Non-leading hardware
2023-11-09,370000000000.0,Non-leading hardware
2023-11-26,,Non-leading hardware
2023-12-06,1743200000000.0,Non-leading hardware
2023-12-06,,Non-leading hardware
2023-12-19,222222222222.22223,Non-leading hardware
2024-03-12,,Non-leading hardware
2024-04-10,61444444444.44444,Non-leading hardware
2024-05-14,,Non-leading hardware
2024-10-10,1300000000000.0,Non-leading hardware
2024-11-18,1413571428571.4285,Non-leading hardware
2016-04-05,74800000000.0,Leading hardware
2017-05-01,164285714285.7143,Leading hardware
2018-03-27,416666666666.6667,Leading hardware
2018-05-18,273333333333.33334,Leading hardware
2020-01-01,788571428571.4286,Leading hardware
2020-03-01,780000000000.0,Leading hardware
2021-05-20,1432291666666.6667,Leading hardware
2022-09-20,1413571428571.4285,Leading hardware
2023-08-29,1407142857142.8572,Leading hardware
2024-03-18,2500000000000.0,Leading hardware
2024-03-18,2250000000000.0,Leading hardware
2024-06-02,2083333333333.3333,Leading hardware
