Year,AI projects (% of total),Label
2011,0.014725568942436412,China
2012,0.02617801047120419,China
2013,0.04544983952790144,China
2014,0.035092060978024156,China
2015,0.03393860079611757,China
2016,0.04407043847766789,China
2017,0.06581279788424887,China
2018,0.07956585354412818,China
2019,0.08225125714122758,China
2020,0.07314383973315396,China
2021,0.05833159431135929,China
2022,0.037602906189634,China
2023,0.028568343252063737,China
2024,0.020812659209086534,China
2011,0.2918340026773762,Europe
2012,0.27599102468212416,Europe
2013,0.2593436173516927,Europe
2014,0.23089487230251435,Europe
2015,0.2237308468291619,Europe
2016,0.22391493941474458,Europe
2017,0.21625246948618831,Europe
2018,0.20741751054966506,Europe
2019,0.20211812849932034,Europe
2020,0.19701549569917726,Europe
2021,0.1964830979057378,Europe
2022,0.20214329155336208,Europe
2023,0.19898188167049752,Europe
2024,0.19150934265893588,Europe
2011,0.0107095046854083,India
2012,0.030416355023684866,India
2013,0.03633916554508748,India
2014,0.06191843199366462,India
2015,0.06086482359997819,India
2016,0.06182232036270744,India
2017,0.0778597680664914,India
2018,0.10328297999397419,India
2019,0.12389495147292275,India
2020,0.15796299023607754,India
2021,0.18002295509005736,India
2022,0.1813274053775693,India
2023,0.18751167418138046,India
2024,0.19913910747056152,India
2011,0.5816599732262383,United States
2012,0.5292944402892047,United States
2013,0.5329744279946165,United States
2014,0.5207137200554346,United States
2015,0.4990566552156606,United States
2016,0.46144377849115187,United States
2017,0.40434249038367015,United States
2018,0.3550045734760041,United States
2019,0.31795216684569244,United States
2020,0.2826609773475407,United States
2021,0.2550449627129702,United States
2022,0.24554925632583252,United States
2023,0.23217352503203914,United States
2024,0.2342154653177143,United States
2011,0.10107095046854082,Rest of the world
2012,0.1381201695337821,Rest of the world
2013,0.12589294958070193,Rest of the world
2014,0.1513809146703623,Rest of the world
2015,0.18240907355908173,Rest of the world
2016,0.2087485232537282,Rest of the world
2017,0.23573247417940124,Rest of the world
2018,0.25472908243622844,Rest of the world
2019,0.2737834960408369,Rest of the world
2020,0.28921669698405056,Rest of the world
2021,0.3101173899798753,Rest of the world
2022,0.33337714055360207,Rest of the world
2023,0.35276457586401916,Rest of the world
2024,0.35432342534370176,Rest of the world
