Year,Number of cumulative GitHub stars (in millions),Label
2011,4.1e-05,China
2012,0.000105,China
2013,0.000458,China
2014,0.00229,China
2015,0.009552,China
2016,0.035445,China
2017,0.143211,China
2018,0.41932,China
2019,1.004391,China
2020,1.665026,China
2021,2.302273,China
2022,2.674983,China
2023,3.193901,China
2024,3.669662,China
2011,2.5e-05,India
2012,9.8e-05,India
2013,0.000186,India
2014,0.001087,India
2015,0.003003,India
2016,0.018705,India
2017,0.060855,India
2018,0.169533,India
2019,0.330437,India
2020,0.692632,India
2021,1.191081,India
2022,1.765029,India
2023,2.694652,India
2024,4.059525,India
2011,0.002026,Europe
2012,0.004212,Europe
2013,0.010534,Europe
2014,0.031059,Europe
2015,0.078739,Europe
2016,0.200177,Europe
2017,0.458017,Europe
2018,0.894046,Europe
2019,1.513457,Europe
2020,2.391693,Europe
2021,3.46774,Europe
2022,4.779066,Europe
2023,7.206648,Europe
2024,10.288588,Europe
2011,0.000286,Rest of the world
2012,0.001105,Rest of the world
2013,0.007823,Rest of the world
2014,0.016266,Rest of the world
2015,0.044308,Rest of the world
2016,0.153434,Rest of the world
2017,0.42655,Rest of the world
2018,0.868419,Rest of the world
2019,1.481042,Rest of the world
2020,2.547432,Rest of the world
2021,3.891059,Rest of the world
2022,5.853259,Rest of the world
2023,10.472831,Rest of the world
2024,16.385384,Rest of the world
2011,0.007079,United States
2012,0.013673,United States
2013,0.041169,United States
2014,0.101112,United States
2015,0.26426,United States
2016,0.614612,United States
2017,1.239283,United States
2018,2.196059,United States
2019,3.365349,United States
2020,4.938112,United States
2021,6.622257,United States
2022,8.744798,United States
2023,14.279035,United States
2024,21.080888,United States
