Year,Score,Label
2024-01-01,1124.493563,open
2024-02-01,1146.586521,open
2024-03-01,1148.229282,open
2024-04-01,1209.57729,open
2024-05-01,1209.646296,open
2024-06-01,1214.139389,open
2024-07-01,1262.234681,open
2024-08-01,1266.298806,open
2024-09-01,1266.484737,open
2024-10-01,1270.736375,open
2024-11-01,1273.879046,open
2024-12-01,1315.072305,open
2025-01-01,1357.653476,open
2025-02-01,1361.623644,open
2024-01-01,1214.851847,closed
2024-02-01,1253.564863,closed
2024-03-01,1253.555863,closed
2024-04-01,1260.741099,closed
2024-05-01,1289.16498,closed
2024-06-01,1287.299514,closed
2024-07-01,1287.46605,closed
2024-08-01,1316.802335,closed
2024-09-01,1355.230945,closed
2024-10-01,1340.235689,closed
2024-11-01,1365.366711,closed
2024-12-01,1379.381608,closed
2025-01-01,1381.9951,closed
2025-02-01,1384.788529,closed
