Year,Score,Country
2024-01,1111.92061,China
2024-02,1146.586521,China
2024-03,1148.229282,China
2024-04,1153.531461,China
2024-05,1238.920947,China
2024-06,1240.058608,China
2024-07,1240.555875,China
2024-08,1239.676588,China
2024-09,1256.816978,China
2024-10,1286.658428,China
2024-11,1287.035714,China
2024-12,1315.072305,China
2025-01,1357.653476,China
2025-02,1361.623644,China
2024-01,1214.851847,United States
2024-02,1253.564863,United States
2024-03,1253.555863,United States
2024-04,1260.741099,United States
2024-05,1289.16498,United States
2024-06,1287.299514,United States
2024-07,1287.46605,United States
2024-08,1316.802335,United States
2024-09,1355.230945,United States
2024-10,1340.235689,United States
2024-11,1365.366711,United States
2024-12,1379.381608,United States
2025-01,1381.9951,United States
2025-02,1384.788529,United States
