Year,Score,Provider
1/1/24,1150.2374,Mistral AI
2/1/24,1151.589001,Mistral AI
3/1/24,1159.682576,Mistral AI
4/1/24,1158.664623,Mistral AI
5/1/24,1157.212964,Mistral AI
6/1/24,1157.307931,Mistral AI
7/1/24,1157.268966,Mistral AI
8/1/24,1250.469055,Mistral AI
9/1/24,1250.889254,Mistral AI
10/1/24,1251.499542,Mistral AI
11/1/24,1251.477707,Mistral AI
12/1/24,1251.484885,Mistral AI
1/1/25,1251.561155,Mistral AI
2/1/25,1251.594775,Mistral AI
1/1/24,1081.175738,Meta
2/1/24,1082,Meta
3/1/24,1082.200195,Meta
4/1/24,1209.57729,Meta
5/1/24,1209.646296,Meta
6/1/24,1207.861748,Meta
7/1/24,1262.234681,Meta
8/1/24,1266.298806,Meta
9/1/24,1266.484737,Meta
10/1/24,1267.387825,Meta
11/1/24,1267.4221,Meta
12/1/24,1267.50211,Meta
1/1/25,1268.213793,Meta
2/1/25,1268.603782,Meta
1/1/24,1149.647163,Anthropic
2/1/24,1150.030972,Anthropic
3/1/24,1253.555863,Anthropic
4/1/24,1255.913616,Anthropic
5/1/24,1250.926206,Anthropic
6/1/24,1271.776975,Anthropic
7/1/24,1271.811966,Anthropic
8/1/24,1271.240569,Anthropic
9/1/24,1269.914116,Anthropic
10/1/24,1286.467608,Anthropic
11/1/24,1283.080223,Anthropic
12/1/24,1283.391509,Anthropic
1/1/25,1283.709971,Anthropic
2/1/25,1283.549594,Anthropic
1/1/24,,xAI
2/1/24,,xAI
3/1/24,,xAI
4/1/24,,xAI
5/1/24,,xAI
6/1/24,,xAI
7/1/24,,xAI
8/1/24,1294.820296,xAI
9/1/24,1294.392615,xAI
10/1/24,1293.080307,xAI
11/1/24,1290.102715,xAI
12/1/24,1288.941816,xAI
1/1/25,1287.926494,xAI
2/1/25,1287.787343,xAI
1/1/24,,DeepSeek
2/1/24,1081.733372,DeepSeek
3/1/24,1074.857716,DeepSeek
4/1/24,1079.451876,DeepSeek
5/1/24,1080.070058,DeepSeek
6/1/24,1178.965099,DeepSeek
7/1/24,1221.834595,DeepSeek
8/1/24,1220.631182,DeepSeek
9/1/24,1251.816574,DeepSeek
10/1/24,1255.739092,DeepSeek
11/1/24,1257.859741,DeepSeek
12/1/24,1315.072305,DeepSeek
1/1/25,1357.653476,DeepSeek
2/1/25,1361.623644,DeepSeek
1/1/24,1190.624874,OpenAI
2/1/24,1253.564863,OpenAI
3/1/24,1251.225057,OpenAI
4/1/24,1260.741099,OpenAI
5/1/24,1289.16498,OpenAI
6/1/24,1287.299514,OpenAI
7/1/24,1287.46605,OpenAI
8/1/24,1316.802335,OpenAI
9/1/24,1355.230945,OpenAI
10/1/24,1340.235689,OpenAI
11/1/24,1361.334855,OpenAI
12/1/24,1366.07084,OpenAI
1/1/25,1365.244877,OpenAI
2/1/25,1365.529409,OpenAI
1/1/24,1214.851847,Google
2/1/24,1223.798859,Google
3/1/24,1203.533592,Google
4/1/24,1247.662508,Google
5/1/24,1267.923048,Google
6/1/24,1267.412015,Google
7/1/24,1267.134327,Google
8/1/24,1300.997392,Google
9/1/24,1300.037855,Google
10/1/24,1304.608309,Google
11/1/24,1365.366711,Google
12/1/24,1379.381608,Google
1/1/25,1381.9951,Google
2/1/25,1384.788529,Google
