Year,RAI papers (% of total),Conference
2019,8.80%,ICLR
2020,8.88%,ICLR
2021,10.93%,ICLR
2022,3.93%,ICLR
2023,10.61%,ICLR
2024,7.56%,ICLR
2019,6.08%,ICML
2020,7.08%,ICML
2021,5.91%,ICML
2022,6.72%,ICML
2023,3.39%,ICML
2024,8.24%,ICML
2019,10.29%,NeurIPS
2020,9.53%,NeurIPS
2021,9.81%,NeurIPS
2022,11.33%,NeurIPS
2023,13.80%,NeurIPS
2024,9.02%,NeurIPS
2019,4.52%,AAAI
2020,6.91%,AAAI
2021,9.46%,AAAI
2022,10.16%,AAAI
2023,9.94%,AAAI
2024,13.36%,AAAI
2019,18.57%,AIES
2020,14.08%,AIES
2021,33.96%,AIES
2022,25.64%,AIES
2023,65.67%,AIES
2024,63.33%,AIES
2019,63.41%,FAccT
2020,72.46%,FAccT
2021,65.85%,FAccT
2022,61.33%,FAccT
2023,67.97%,FAccT
2024,69.14%,FAccT
