Country code,"Number of RAI papers accepted, 2019-24"
KHM,1
CZE,1
OMN,1
CMR,1
NAM,1
ROU,1
GTM,1
SRB,1
ETH,1
SVK,1
SVN,1
IDN,1
LBY,1
TUR,1
LAO,1
URY,1
HRV,1
HUN,2
MAR,2
NCL,2
NGA,2
EST,2
EGY,2
BWA,2
PER,2
PRY,2
CRI,2
BFA,2
CIV,2
TCD,2
KEN,2
VNM,3
THA,3
MEX,3
MLI,3
PAK,3
QAT,3
CYP,3
BGR,3
MYS,4
GHA,4
IRN,4
UKR,4
ZAF,4
RUS,5
NZL,5
JEY,5
PRT,6
MAC,6
LUX,6
GRC,8
ARG,8
PHL,9
BGD,10
NOR,10
CHL,11
COL,12
POL,14
IRL,15
SAU,15
TWN,17
FIN,18
BRA,22
SWE,24
ESP,24
ARE,30
AUT,31
DNK,34
BEL,37
GEO,40
KOR,82
ITA,95
ISR,102
NLD,111
JPN,128
IND,131
HKG,139
FRA,161
AUS,175
CHE,191
SGP,192
CAN,284
DEU,357
GBR,485
CHN,1100
USA,3158
