Year,Conference,Count
2019,aaai,11
2019,aies,5
2019,facct,10
2019,iclr,11
2019,icml,13
2019,neurips,39
2020,aaai,19
2020,aies,5
2020,facct,20
2020,iclr,15
2020,icml,21
2020,neurips,54
2021,aaai,48
2021,aies,10
2021,facct,22
2021,iclr,30
2021,icml,16
2021,neurips,63
2022,aaai,44
2022,aies,7
2022,facct,42
2022,iclr,25
2022,icml,24
2022,neurips,89
2023,aaai,54
2023,aies,10
2023,facct,46
2023,iclr,56
2023,icml,44
2023,neurips,183
2024,aaai,98
2024,aies,35
2024,facct,50
2024,iclr,35
2024,icml,54
2024,neurips,83
