year,Restriction type,URL token percentage
2016,NC Only,12%
2016,No Re-Distribution,4%
2016,No Scraping,41%
2016,No Scraping & AI,1%
2016,Non-Compete,2%
2016,Unrestricted Use,39%
2017,NC Only,14%
2017,No Re-Distribution,3%
2017,No Scraping,44%
2017,No Scraping & AI,0%
2017,Non-Compete,3%
2017,Unrestricted Use,36%
2018,Unrestricted Use,40%
2018,Non-Compete,5%
2018,No Scraping & AI,1%
2018,No Re-Distribution,3%
2018,NC Only,12%
2018,No Scraping,39%
2019,NC Only,16%
2019,No Re-Distribution,4%
2019,No Scraping,43%
2019,No Scraping & AI,0%
2019,Non-Compete,3%
2019,Unrestricted Use,35%
2020,No Scraping & AI,0%
2020,Unrestricted Use,41%
2020,No Scraping,41%
2020,Non-Compete,3%
2020,NC Only,11%
2020,Conditional Use,0%
2020,No Re-Distribution,3%
2021,Conditional Use,0%
2021,NC Only,12%
2021,No Re-Distribution,3%
2021,No Scraping,42%
2021,No Scraping & AI,1%
2021,Non-Compete,3%
2021,Unrestricted Use,39%
2022,Unrestricted Use,39%
2022,No Scraping & AI,1%
2022,No Scraping,41%
2022,Non-Compete,2%
2022,NC Only,14%
2022,Conditional Use,0%
2022,No Re-Distribution,2%
2023,Unrestricted Use,38%
2023,No Scraping & AI,6%
2023,No Scraping,36%
2023,Non-Compete,3%
2023,NC Only,14%
2023,Conditional Use,0%
2023,No Re-Distribution,2%
2024,Non-Compete,3%
2024,Conditional Use,1%
2024,NC Only,12%
2024,No Re-Distribution,4%
2024,No Scraping,36%
2024,No Scraping & AI,8%
2024,Unrestricted Use,36%
