State code,Percentage of US AI job postings
AL,1.04%
AK,0.34%
AZ,1.96%
AR,0.71%
CA,15.70%
CO,2.42%
CT,1.23%
DE,0.57%
FL,3.83%
GA,3.08%
HI,0.41%
ID,0.63%
IL,3.97%
IN,1.10%
IA,0.65%
KS,0.90%
KY,0.66%
LA,0.57%
ME,0.38%
MD,2.26%
MA,4.42%
MI,2.37%
MN,1.59%
MS,0.44%
MO,1.39%
MT,0.37%
NE,0.58%
NV,0.68%
NH,0.47%
NJ,2.96%
NM,0.55%
NY,5.76%
NC,2.87%
ND,0.24%
OH,2.51%
OK,0.69%
OR,1.31%
PA,2.93%
RI,0.54%
SC,0.81%
SD,0.28%
TN,1.39%
TX,8.77%
UT,1.00%
VT,0.20%
VA,4.74%
WA,4.72%
DC,1.54%
WV,0.20%
WI,1.13%
WY,0.15%
