Year,Percentage of US states’ job postings in AI,State
2010,0.27%,Texas
2011,0.27%,Texas
2012,0.31%,Texas
2013,0.29%,Texas
2014,0.34%,Texas
2015,0.40%,Texas
2016,0.52%,Texas
2017,0.74%,Texas
2018,1.01%,Texas
2019,1.18%,Texas
2020,1.20%,Texas
2021,1.44%,Texas
2022,1.52%,Texas
2023,1.11%,Texas
2024,1.86%,Texas
2010,0.47%,New York
2011,0.38%,New York
2012,0.53%,New York
2013,0.51%,New York
2014,0.60%,New York
2015,0.85%,New York
2016,0.95%,New York
2017,1.39%,New York
2018,1.79%,New York
2019,2.09%,New York
2020,1.78%,New York
2021,1.96%,New York
2022,2.07%,New York
2023,1.43%,New York
2024,2.19%,New York
2010,0.59%,California
2011,0.68%,California
2012,0.99%,California
2013,0.69%,California
2014,0.80%,California
2015,1.10%,California
2016,1.24%,California
2017,1.63%,California
2018,2.02%,California
2019,2.26%,California
2020,1.94%,California
2021,2.12%,California
2022,2.21%,California
2023,1.60%,California
2024,2.67%,California
2010,0.60%,Washington
2011,0.68%,Washington
2012,0.87%,Washington
2013,0.86%,Washington
2014,0.87%,Washington
2015,0.99%,Washington
2016,1.27%,Washington
2017,1.80%,Washington
2018,2.18%,Washington
2019,2.08%,Washington
2020,2.14%,Washington
2021,2.03%,Washington
2022,2.48%,Washington
2023,1.65%,Washington
2024,3.27%,Washington
