Year,Percentage of United States AI job postings,State
2010,2.03%,Washington
2011,3.54%,Washington
2012,4.81%,Washington
2013,5.25%,Washington
2014,4.86%,Washington
2015,4.71%,Washington
2016,5.20%,Washington
2017,5.69%,Washington
2018,4.85%,Washington
2019,3.96%,Washington
2020,4.35%,Washington
2021,3.94%,Washington
2022,3.93%,Washington
2023,3.19%,Washington
2024,4.72%,Washington
2010,3.99%,New York
2011,4.87%,New York
2012,6.44%,New York
2013,7.28%,New York
2014,7.36%,New York
2015,8.62%,New York
2016,7.56%,New York
2017,8.03%,New York
2018,7.04%,New York
2019,7.69%,New York
2020,6.16%,New York
2021,6.07%,New York
2022,5.52%,New York
2023,5.29%,New York
2024,5.76%,New York
2010,2.69%,Texas
2011,4.61%,Texas
2012,4.65%,Texas
2013,5.35%,Texas
2014,6.05%,Texas
2015,5.69%,Texas
2016,5.75%,Texas
2017,5.66%,Texas
2018,6.95%,Texas
2019,7.62%,Texas
2020,8.37%,Texas
2021,8.90%,Texas
2022,8.37%,Texas
2023,7.89%,Texas
2024,8.77%,Texas
2010,10.44%,California
2011,18.62%,California
2012,26.63%,California
2013,21.34%,California
2014,20.69%,California
2015,23.12%,California
2016,22.42%,California
2017,20.56%,California
2018,22.52%,California
2019,24.62%,California
2020,20.88%,California
2021,19.51%,California
2022,17.87%,California
2023,15.31%,California
2024,15.70%,California
