Geographic area,Relative AI hiring rate year-over-year ratio
India,33.39%
Brazil,30.83%
Saudi Arabia,28.71%
Slovenia,28.21%
Romania,27.31%
Finland,26.98%
Argentina,26.39%
Canada,26.13%
Singapore,24.97%
United Arab Emirates,24.88%
United States,24.73%
Ireland,24.58%
South Africa,24.24%
Mexico,24.02%
Latvia,23.60%
Hungary,22.34%
Chile,22.18%
Hong Kong,20.83%
Denmark,20.47%
Turkey,20.36%
Italy,19.78%
Portugal,19.67%
Sweden,19.12%
Switzerland,18.43%
Spain,18.22%
Costa Rica,17.61%
Estonia,17.40%
Australia,16.78%
Indonesia,16.61%
Austria,16.24%
Greece,14.52%
Israel,14.28%
United Kingdom,13.78%
Norway,13.33%
Uruguay,13.22%
South Korea,13.21%
Poland,13.05%
New Zealand,12.73%
Lithuania,12.20%
Czechia,11.29%
Belgium,10.53%
Luxembourg,9.15%
Germany,9.10%
Netherlands,8.57%
Croatia,7.62%
Cyprus,6.86%
France,5.75%
