Geographic area,"Relative AI skill penetration rate, 2015-24"
United States,2.63
India,2.51
United Kingdom,1.40
Germany,1.32
Brazil,1.32
Canada,1.30
France,1.23
Spain,1.10
Indonesia,1.04
Global,1.00
Australia,0.95
Turkey,0.94
Netherlands,0.92
Italy,0.90
Israel,0.87
Singapore,0.86
Mexico,0.85
Poland,0.78
Switzerland,0.77
Argentina,0.76
United Arab Emirates,0.73
Sweden,0.71
Saudi Arabia,0.65
South Korea,0.63
Belgium,0.63
South Africa,0.62
Ireland,0.62
Portugal,0.62
Greece,0.60
Denmark,0.59
Chile,0.58
Romania,0.57
Finland,0.56
Austria,0.55
Hong Kong,0.52
Hungary,0.47
Norway,0.46
Czechia,0.46
New Zealand,0.39
Lithuania,0.35
Costa Rica,0.33
Croatia,0.31
Estonia,0.28
Uruguay,0.26
Cyprus,0.26
Luxembourg,0.24
Slovenia,0.23
Latvia,0.22
Iceland,0.08
