Geographic area,Gender,"Relative AI skill penetration, 2015-24"
India,Female,1.913
United States,Female,1.71
Canada,Female,0.974
United Kingdom,Female,0.904
Germany,Female,0.894
France,Female,0.828
Brazil,Female,0.826
Israel,Female,0.786
Spain,Female,0.748
Netherlands,Female,0.723
Australia,Female,0.678
Italy,Female,0.67
Turkey,Female,0.663
Singapore,Female,0.638
Saudi Arabia,Female,0.607
Switzerland,Female,0.562
United Arab Emirates,Female,0.542
Sweden,Female,0.527
Argentina,Female,0.514
Portugal,Female,0.504
Mexico,Female,0.503
Poland,Female,0.503
South Africa,Female,0.433
Hong Kong,Female,0.429
Romania,Female,0.426
Finland,Female,0.414
Greece,Female,0.411
Ireland,Female,0.404
Belgium,Female,0.385
Denmark,Female,0.368
Norway,Female,0.349
Chile,Female,0.347
Austria,Female,0.328
New Zealand,Female,0.286
Czechia,Female,0.278
Costa Rica,Female,0.23
Uruguay,Female,0.132
Croatia,Female,0.128
Luxembourg,Female,0.126
Lithuania,Female,0.111
Estonia,Female,0.101
Latvia,Female,0.084
United States,Male,2.394
India,Male,2.38
Germany,Male,1.338
Brazil,Male,1.304
Canada,Male,1.301
United Kingdom,Male,1.293
France,Male,1.25
Spain,Male,1.13
Netherlands,Male,0.983
Turrkey,Male,0.962
Italy,Male,0.91
Israel,Male,0.893
Australia,Male,0.889
Mexico,Male,0.871
Poland,Male,0.845
Switzerland,Male,0.812
Singapore,Male,0.773
Sweden,Male,0.768
Argentina,Male,0.759
Belgium,Male,0.725
United Arab Emirates,Male,0.706
Portugal,Male,0.65
Austria,Male,0.632
Finland,Male,0.613
Denmark,Male,0.607
Greece,Male,0.605
Chile,Male,0.603
Saudi Arabia,Male,0.589
South Africa,Male,0.581
Ireland,Male,0.58
Romania,Male,0.568
Norway,Male,0.498
Czechia,Male,0.486
Hong Kong,Male,0.483
New Zealand,Male,0.394
Lithuania,Male,0.38
Croatia,Male,0.315
Costa Rica,Male,0.311
Estonia,Male,0.31
Uruguay,Male,0.254
Luxembourg,Male,0.227
Latvia,Male,0.144
