Geographic area,AI talent concentration
Israel,1.98%
Singapore,1.64%
Luxembourg,1.45%
Estonia,1.17%
Switzerland,1.16%
Finland,1.13%
Ireland,1.11%
Germany,1.09%
Netherlands,1.07%
South Korea,1.07%
Lithuania,1.06%
Poland,0.94%
Canada,0.93%
Hungary,0.92%
Sweden,0.90%
Cyprus,0.89%
India,0.87%
United Kingdom,0.87%
Greece,0.83%
Austria,0.80%
Australia,0.80%
France,0.79%
Denmark,0.78%
Czechia,0.78%
United States,0.78%
Hong Kong,0.76%
Slovenia,0.72%
Belgium,0.68%
Latvia,0.67%
Norway,0.66%
New Zealand,0.64%
Costa Rica,0.63%
Portugal,0.61%
Spain,0.60%
Croatia,0.60%
Romania,0.56%
United Arab Emirates,0.54%
Iceland,0.47%
Italy,0.41%
Saudi Arabia,0.37%
Turkey,0.36%
Chile,0.32%
Indonesia,0.32%
South Africa,0.31%
Argentina,0.30%
Uruguay,0.29%
Mexico,0.28%
Brazil,0.23%
