Geographic area,Percentage change in AI talent concentration
India,252%
Costa Rica,240%
Portugal,237%
Cyprus,219%
Brazil,217%
Estonia,207%
Turkey,198%
Croatia,192%
Denmark,192%
Indonesia,191%
Iceland,173%
Uruguay,171%
Argentina,170%
United Arab Emirates,168%
Canada,166%
Lithuania,165%
Latvia,162%
Spain,161%
Saudi Arabia,160%
Norway,158%
Singapore,157%
Hong Kong,155%
Chile,153%
Romania,148%
Greece,146%
Austria,143%
Germany,140%
Ireland,140%
Italy,135%
Hungary,135%
Mexico,135%
Israel,133%
United States,127%
Australia,122%
Slovenia,122%
Luxembourg,114%
Poland,110%
United Kingdom,109%
Switzerland,105%
New Zealand,104%
Czechia,102%
Finland,94%
Belgium,85%
Netherlands,84%
South Africa,74%
Sweden,68%
South Korea,65%
France,52%
