Year,Geographic area,Gender,AI talent concentration
2016,Argentina,Female,0.07%
2016,Argentina,Male,0.16%
2017,Argentina,Female,0.07%
2017,Argentina,Male,0.19%
2018,Argentina,Female,0.09%
2018,Argentina,Male,0.22%
2019,Argentina,Female,0.10%
2019,Argentina,Male,0.26%
2020,Argentina,Female,0.12%
2020,Argentina,Male,0.31%
2021,Argentina,Female,0.14%
2021,Argentina,Male,0.36%
2022,Argentina,Female,0.15%
2022,Argentina,Male,0.40%
2023,Argentina,Female,0.16%
2023,Argentina,Male,0.43%
2024,Argentina,Female,0.18%
2024,Argentina,Male,0.45%
2016,Australia,Female,0.23%
2016,Australia,Male,0.46%
2017,Australia,Female,0.25%
2017,Australia,Male,0.51%
2018,Australia,Female,0.28%
2018,Australia,Male,0.57%
2019,Australia,Female,0.32%
2019,Australia,Male,0.65%
2020,Australia,Female,0.36%
2020,Australia,Male,0.72%
2021,Australia,Female,0.41%
2021,Australia,Male,0.80%
2022,Australia,Female,0.45%
2022,Australia,Male,0.86%
2023,Australia,Female,0.48%
2023,Australia,Male,0.93%
2024,Australia,Female,0.52%
2024,Australia,Male,1.00%
2016,Austria,Female,0.17%
2016,Austria,Male,0.45%
2017,Austria,Female,0.19%
2017,Austria,Male,0.50%
2018,Austria,Female,0.22%
2018,Austria,Male,0.56%
2019,Austria,Female,0.27%
2019,Austria,Male,0.67%
2020,Austria,Female,0.31%
2020,Austria,Male,0.77%
2021,Austria,Female,0.36%
2021,Austria,Male,0.86%
2022,Austria,Female,0.40%
2022,Austria,Male,0.94%
2023,Austria,Female,0.45%
2023,Austria,Male,1.01%
2024,Austria,Female,0.48%
2024,Austria,Male,1.07%
2016,Belgium,Female,0.20%
2016,Belgium,Male,0.51%
2017,Belgium,Female,0.22%
2017,Belgium,Male,0.55%
2018,Belgium,Female,0.25%
2018,Belgium,Male,0.61%
2019,Belgium,Female,0.28%
2019,Belgium,Male,0.68%
2020,Belgium,Female,0.30%
2020,Belgium,Male,0.75%
2021,Belgium,Female,0.33%
2021,Belgium,Male,0.82%
2022,Belgium,Female,0.35%
2022,Belgium,Male,0.87%
2023,Belgium,Female,0.38%
2023,Belgium,Male,0.92%
2024,Belgium,Female,0.39%
2024,Belgium,Male,0.95%
2016,Brazil,Female,0.04%
2016,Brazil,Male,0.11%
2017,Brazil,Female,0.04%
2017,Brazil,Male,0.13%
2018,Brazil,Female,0.05%
2018,Brazil,Male,0.16%
2019,Brazil,Female,0.06%
2019,Brazil,Male,0.19%
2020,Brazil,Female,0.07%
2020,Brazil,Male,0.22%
2021,Brazil,Female,0.08%
2021,Brazil,Male,0.26%
2022,Brazil,Female,0.09%
2022,Brazil,Male,0.29%
2023,Brazil,Female,0.10%
2023,Brazil,Male,0.33%
2024,Brazil,Female,0.11%
2024,Brazil,Male,0.37%
2016,Canada,Female,0.22%
2016,Canada,Male,0.44%
2017,Canada,Female,0.25%
2017,Canada,Male,0.50%
2018,Canada,Female,0.29%
2018,Canada,Male,0.58%
2019,Canada,Female,0.34%
2019,Canada,Male,0.68%
2020,Canada,Female,0.39%
2020,Canada,Male,0.76%
2021,Canada,Female,0.44%
2021,Canada,Male,0.87%
2022,Canada,Female,0.50%
2022,Canada,Male,0.96%
2023,Canada,Female,0.56%
2023,Canada,Male,1.06%
2024,Canada,Female,0.61%
2024,Canada,Male,1.15%
2016,Chile,Female,0.08%
2016,Chile,Male,0.18%
2017,Chile,Female,0.08%
2017,Chile,Male,0.20%
2018,Chile,Female,0.09%
2018,Chile,Male,0.24%
2019,Chile,Female,0.11%
2019,Chile,Male,0.28%
2020,Chile,Female,0.12%
2020,Chile,Male,0.32%
2021,Chile,Female,0.14%
2021,Chile,Male,0.37%
2022,Chile,Female,0.15%
2022,Chile,Male,0.40%
2023,Chile,Female,0.15%
2023,Chile,Male,0.44%
2024,Chile,Female,0.17%
2024,Chile,Male,0.49%
2016,Costa Rica,Female,0.12%
