Year,AI job postings (% of all job postings),Geographic area
2014,,Croatia
2015,,Croatia
2016,,Croatia
2017,,Croatia
2018,,Croatia
2019,,Croatia
2020,,Croatia
2021,,Croatia
2022,0.17%,Croatia
2023,0.18%,Croatia
2024,0.13%,Croatia
2014,0.14%,New Zealand
2015,0.17%,New Zealand
2016,0.14%,New Zealand
2017,0.16%,New Zealand
2018,0.20%,New Zealand
2019,0.19%,New Zealand
2020,0.25%,New Zealand
2021,0.37%,New Zealand
2022,0.45%,New Zealand
2023,0.44%,New Zealand
2024,0.55%,New Zealand
2014,,Chile
2015,,Chile
2016,,Chile
2017,,Chile
2018,,Chile
2019,,Chile
2020,,Chile
2021,0.44%,Chile
2022,0.78%,Chile
2023,0.66%,Chile
2024,0.65%,Chile
2014,,Mexico
2015,,Mexico
2016,,Mexico
2017,,Mexico
2018,,Mexico
2019,,Mexico
2020,,Mexico
2021,,Mexico
2022,0.87%,Mexico
2023,0.95%,Mexico
2024,0.73%,Mexico
2014,,Italy
2015,,Italy
2016,,Italy
2017,,Italy
2018,,Italy
2019,0.50%,Italy
2020,0.66%,Italy
2021,0.66%,Italy
2022,0.88%,Italy
2023,0.74%,Italy
2024,0.87%,Italy
2014,,Austria
2015,,Austria
2016,,Austria
2017,,Austria
2018,,Austria
2019,0.61%,Austria
2020,0.82%,Austria
2021,1.10%,Austria
2022,1.33%,Austria
2023,1.04%,Austria
2024,1.06%,Austria
2014,,France
2015,,France
2016,,France
2017,,France
2018,,France
2019,0.51%,France
2020,0.66%,France
2021,0.91%,France
2022,1.05%,France
2023,1.08%,France
2024,1.10%,France
2014,0.26%,Australia
2015,0.83%,Australia
2016,0.61%,Australia
2017,0.52%,Australia
2018,0.71%,Australia
2019,0.79%,Australia
2020,0.82%,Australia
2021,1.17%,Australia
2022,1.11%,Australia
2023,0.91%,Australia
2024,1.14%,Australia
2014,,Germany
2015,,Germany
2016,,Germany
2017,,Germany
2018,,Germany
2019,1.68%,Germany
2020,0.82%,Germany
2021,1.25%,Germany
2022,1.32%,Germany
2023,1.01%,Germany
2024,1.15%,Germany
2014,,Spain
2015,,Spain
2016,,Spain
2017,,Spain
2018,,Spain
2019,0.34%,Spain
2020,0.50%,Spain
2021,1.12%,Spain
2022,1.14%,Spain
2023,1.01%,Spain
2024,1.24%,Spain
