Year,Geographic area,Gender,AI talent representation
2016,Argentina,Female,27.07%
2016,Argentina,Male,72.93%
2017,Argentina,Female,26.75%
2017,Argentina,Male,73.25%
2018,Argentina,Female,26.51%
2018,Argentina,Male,73.49%
2019,Argentina,Female,26.01%
2019,Argentina,Male,73.99%
2020,Argentina,Female,26.87%
2020,Argentina,Male,73.13%
2021,Argentina,Female,26.83%
2021,Argentina,Male,73.17%
2022,Argentina,Female,27.57%
2022,Argentina,Male,72.43%
2023,Argentina,Female,27.50%
2023,Argentina,Male,72.50%
2024,Argentina,Female,28.64%
2024,Argentina,Male,71.36%
2016,Australia,Female,28.64%
2016,Australia,Male,71.36%
2017,Australia,Female,29.10%
2017,Australia,Male,70.90%
2018,Australia,Female,29.41%
2018,Australia,Male,70.59%
2019,Australia,Female,29.60%
2019,Australia,Male,70.40%
2020,Australia,Female,29.94%
2020,Australia,Male,70.06%
2021,Australia,Female,30.54%
2021,Australia,Male,69.47%
2022,Australia,Female,30.83%
2022,Australia,Male,69.18%
2023,Australia,Female,31.12%
2023,Australia,Male,68.88%
2024,Australia,Female,31.39%
2024,Australia,Male,68.61%
2016,Austria,Female,19.19%
2016,Austria,Male,80.81%
2017,Austria,Female,19.74%
2017,Austria,Male,80.26%
2018,Austria,Female,19.97%
2018,Austria,Male,80.03%
2019,Austria,Female,20.51%
2019,Austria,Male,79.49%
2020,Austria,Female,21.19%
2020,Austria,Male,78.82%
2021,Austria,Female,22.07%
2021,Austria,Male,77.93%
2022,Austria,Female,22.63%
2022,Austria,Male,77.37%
2023,Austria,Female,23.57%
2023,Austria,Male,76.43%
2024,Austria,Female,24.34%
2024,Austria,Male,75.66%
2016,Belgium,Female,22.04%
2016,Belgium,Male,77.96%
2017,Belgium,Female,22.52%
2017,Belgium,Male,77.49%
2018,Belgium,Female,22.88%
2018,Belgium,Male,77.12%
2019,Belgium,Female,22.86%
2019,Belgium,Male,77.14%
2020,Belgium,Female,22.98%
2020,Belgium,Male,77.02%
2021,Belgium,Female,23.28%
2021,Belgium,Male,76.73%
2022,Belgium,Female,23.46%
2022,Belgium,Male,76.54%
2023,Belgium,Female,23.86%
2023,Belgium,Male,76.14%
2024,Belgium,Female,24.13%
2024,Belgium,Male,75.87%
2016,Brazil,Female,22.30%
2016,Brazil,Male,77.70%
2017,Brazil,Female,21.64%
2017,Brazil,Male,78.36%
2018,Brazil,Female,21.19%
2018,Brazil,Male,78.81%
2019,Brazil,Female,21.09%
2019,Brazil,Male,78.91%
2020,Brazil,Female,21.40%
2020,Brazil,Male,78.61%
2021,Brazil,Female,21.85%
2021,Brazil,Male,78.15%
2022,Brazil,Female,22.16%
2022,Brazil,Male,77.84%
2023,Brazil,Female,22.30%
2023,Brazil,Male,77.70%
2024,Brazil,Female,22.89%
2024,Brazil,Male,77.11%
2016,Canada,Female,30.93%
2016,Canada,Male,69.07%
2017,Canada,Female,30.76%
2017,Canada,Male,69.24%
2018,Canada,Female,30.84%
2018,Canada,Male,69.16%
2019,Canada,Female,30.94%
2019,Canada,Male,69.06%
2020,Canada,Female,31.05%
2020,Canada,Male,68.95%
2021,Canada,Female,31.39%
2021,Canada,Male,68.61%
2022,Canada,Female,31.84%
2022,Canada,Male,68.16%
2023,Canada,Female,32.01%
2023,Canada,Male,67.99%
2024,Canada,Female,32.22%
2024,Canada,Male,67.78%
