Geographic area,"Net AI talent migration per 10,000 LinkedIn members"
Luxembourg,8.92
Cyprus,4.67
United Arab Emirates,4.13
Switzerland,3.15
Ireland,2.17
Germany,2.13
Austria,2.09
Saudi Arabia,1.61
Australia,1.48
Finland,1.30
Singapore,1.26
Denmark,1.14
United States,1.07
Hong Kong,0.97
Poland,0.95
Canada,0.95
Spain,0.94
Netherlands,0.92
Czechia,0.70
Latvia,0.66
Belgium,0.63
Lithuania,0.56
Norway,0.55
United Kingdom,0.55
Iceland,0.51
Portugal,0.42
Sweden,0.41
Slovenia,0.36
France,0.34
Estonia,0.13
Romania,0.06
Croatia,0.01
Uruguay,-0.05
Indonesia,-0.07
Brazil,-0.09
Mexico,-0.10
Italy,-0.10
Chile,-0.19
Argentina,-0.22
South Africa,-0.22
New Zealand,-0.23
Greece,-0.25
Costa Rica,-0.28
South Korea,-0.36
Türkiye,-0.49
Hungary,-1.15
India,-1.55
Israel,-2.10
