Date,country,"Net AI talent migration per 10,000 LinkedIn members"
1/1/19,Argentina,-0.18
1/1/20,Argentina,-0.22
1/1/21,Argentina,-0.52
1/1/22,Argentina,-0.47
1/1/23,Argentina,-0.39
1/1/24,Argentina,-0.22
1/1/24,Australia,1.48
1/1/22,Australia,1.20
1/1/23,Australia,1.53
1/1/20,Australia,0.36
1/1/21,Australia,0.25
1/1/19,Australia,0.95
1/1/19,Austria*,1.08
1/1/20,Austria*,1.27
1/1/21,Austria*,1.77
1/1/22,Austria*,1.58
1/1/23,Austria*,1.89
1/1/24,Austria*,2.09
1/1/24,Belgium,0.63
1/1/23,Belgium,0.68
1/1/22,Belgium,0.42
1/1/21,Belgium,0.51
1/1/20,Belgium,0.53
1/1/19,Belgium,0.51
1/1/19,Brazil,-0.12
1/1/20,Brazil,-0.06
1/1/21,Brazil,-0.11
1/1/22,Brazil,-0.22
1/1/23,Brazil,-0.14
1/1/24,Brazil,-0.09
1/1/24,Canada*,0.95
1/1/21,Canada*,1.79
1/1/22,Canada*,2.38
1/1/20,Canada*,0.82
1/1/23,Canada*,2.37
1/1/19,Canada*,0.49
1/1/22,Chile,-0.24
1/1/21,Chile,-0.16
1/1/19,Chile,-0.03
1/1/23,Chile,-0.21
1/1/20,Chile,-0.05
1/1/24,Chile,-0.19
1/1/23,Costa Rica,-0.11
1/1/19,Costa Rica,-0.24
1/1/20,Costa Rica,-0.11
1/1/21,Costa Rica,-0.12
1/1/22,Costa Rica,-0.14
1/1/24,Costa Rica,-0.28
1/1/24,Croatia,0.01
1/1/22,Croatia,-0.38
1/1/21,Croatia,-0.31
1/1/19,Croatia,-0.16
1/1/20,Croatia,-0.11
1/1/23,Croatia,0.00
1/1/23,Cyprus*,6.60
1/1/22,Cyprus*,11.29
1/1/24,Cyprus*,4.67
1/1/20,Cyprus*,2.26
1/1/19,Cyprus*,0.41
1/1/21,Cyprus*,2.75
1/1/23,Czech Republic,0.43
1/1/19,Czech Republic,-0.09
1/1/20,Czech Republic,0.33
1/1/21,Czech Republic,0.57
1/1/22,Czech Republic,0.73
1/1/24,Czech Republic,0.70
1/1/23,Denmark,0.91
1/1/24,Denmark,1.14
1/1/22,Denmark,0.78
1/1/21,Denmark,0.92
1/1/20,Denmark,0.22
1/1/19,Denmark,0.22
1/1/23,Estonia*,1.51
1/1/22,Estonia*,4.09
1/1/24,Estonia*,0.13
1/1/20,Estonia*,4.17
1/1/19,Estonia*,0.58
1/1/21,Estonia*,5.03
1/1/23,Finland,1.58
1/1/19,Finland,0.92
1/1/20,Finland,0.97
1/1/21,Finland,1.38
1/1/22,Finland,1.61
1/1/24,Finland,1.30
1/1/23,France,0.18
1/1/24,France,0.34
1/1/22,France,0.07
1/1/21,France,0.14
1/1/20,France,0.40
1/1/19,France,0.38
1/1/19,Germany*,1.78
1/1/20,Germany*,1.68
1/1/21,Germany*,2.13
1/1/22,Germany*,2.83
1/1/23,Germany*,2.08
1/1/24,Germany*,2.13
1/1/24,Greece,-0.25
1/1/23,Greece,-0.49
1/1/22,Greece,-0.96
1/1/19,Greece,-0.47
1/1/20,Greece,-0.28
1/1/21,Greece,-0.75
1/1/24,Hong Kong,0.97
1/1/23,Hong Kong,0.66
1/1/21,Hong Kong,-0.07
1/1/20,Hong Kong,-0.08
1/1/19,Hong Kong,-0.26
1/1/22,Hong Kong,-0.58
1/1/23,Hungary*,-0.52
1/1/19,Hungary*,0.07
1/1/20,Hungary*,0.17
1/1/21,Hungary*,-0.14
1/1/22,Hungary*,-0.70
1/1/24,Hungary*,-1.15
1/1/24,Iceland,0.51
1/1/22,Iceland,-0.04
1/1/19,Iceland,-0.19
1/1/20,Iceland,0.19
1/1/23,Iceland,0.50
1/1/21,Iceland,-0.41
1/1/23,India*,-1.84
1/1/24,India*,-1.55
1/1/22,India*,-2.06
1/1/20,India*,-0.44
1/1/19,India*,-0.86
1/1/21,India*,-1.50
1/1/19,Indonesia,0.03
1/1/20,Indonesia,0.04
1/1/21,Indonesia,-0.02
1/1/22,Indonesia,-0.04
1/1/23,Indonesia,-0.07
1/1/24,Indonesia,-0.07
1/1/23,Ireland*,1.62
1/1/19,Ireland*,-0.19
1/1/20,Ireland*,0.89
1/1/21,Ireland*,0.92
1/1/22,Ireland*,2.18
1/1/24,Ireland*,2.17
1/1/22,Israel*,1.13
1/1/21,Israel*,0.41
1/1/24,Israel*,-2.10
1/1/19,Israel*,-0.48
1/1/23,Israel*,-0.63
1/1/20,Israel*,0.30
1/1/23,Italy,-0.26
1/1/22,Italy,-0.23
1/1/24,Italy,-0.10
1/1/20,Italy,-0.17
1/1/19,Italy,-0.10
1/1/21,Italy,-0.03
1/1/23,Latvia,0.47
1/1/19,Latvia,-0.27
1/1/20,Latvia,0.12
1/1/21,Latvia,0.26
1/1/22,Latvia,1.16
1/1/24,Latvia,0.66
1/1/23,Lithuania*,0.24
1/1/24,Lithuania*,0.56
1/1/22,Lithuania*,2.69
1/1/21,Lithuania*,1.22
1/1/20,Lithuania*,1.11
1/1/19,Lithuania*,-0.10
1/1/19,Luxembourg*,2.91
1/1/20,Luxembourg*,7.72
1/1/21,Luxembourg*,8.04
1/1/22,Luxembourg*,10.74
1/1/24,Luxembourg*,8.92
1/1/23,Luxembourg*,7.73
1/1/23,Mexico,-0.15
1/1/19,Mexico,-0.10
1/1/20,Mexico,-0.05
1/1/21,Mexico,-0.09
1/1/22,Mexico,-0.17
1/1/24,Mexico,-0.10
1/1/23,Netherlands*,1.49
1/1/22,Netherlands*,2.00
1/1/24,Netherlands*,0.92
1/1/20,Netherlands*,0.77
1/1/21,Netherlands*,1.34
1/1/19,Netherlands*,0.10
1/1/22,New Zealand,0.11
1/1/21,New Zealand,0.16
1/1/24,New Zealand,-0.23
1/1/19,New Zealand,0.49
1/1/23,New Zealand,0.25
1/1/20,New Zealand,0.53
1/1/23,Norway,0.67
1/1/19,Norway,0.67
1/1/20,Norway,0.69
1/1/21,Norway,1.04
1/1/22,Norway,1.28
1/1/24,Norway,0.55
1/1/23,Poland,1.12
1/1/22,Poland,1.64
1/1/24,Poland,0.95
1/1/20,Poland,0.31
1/1/19,Poland,-0.10
1/1/21,Poland,0.52
1/1/19,Portugal,0.03
1/1/20,Portugal,0.14
1/1/21,Portugal,0.50
1/1/22,Portugal,1.20
1/1/23,Portugal,0.94
1/1/24,Portugal,0.42
1/1/23,Romania,-0.02
1/1/24,Romania,0.06
1/1/22,Romania,-0.21
1/1/21,Romania,-0.16
1/1/19,Romania,-0.30
1/1/20,Romania,0.00
1/1/19,Saudi Arabia,0.10
1/1/20,Saudi Arabia,0.12
1/1/21,Saudi Arabia,0.29
1/1/22,Saudi Arabia,0.46
1/1/23,Saudi Arabia,0.97
1/1/24,Saudi Arabia,1.61
1/1/24,Singapore*,1.26
1/1/22,Singapore*,1.98
1/1/23,Singapore*,1.31
1/1/20,Singapore*,0.92
1/1/21,Singapore*,0.24
1/1/19,Singapore*,-0.21
1/1/19,Slovenia,-0.06
1/1/20,Slovenia,-0.34
1/1/21,Slovenia,-0.16
1/1/22,Slovenia,-0.10
1/1/23,Slovenia,-0.11
1/1/24,Slovenia,0.36
1/1/19,South Africa,-0.13
1/1/20,South Africa,-0.23
1/1/21,South Africa,-0.19
1/1/22,South Africa,-0.33
1/1/23,South Africa,-0.29
1/1/24,South Africa,-0.22
1/1/23,South Korea,-0.52
1/1/22,South Korea,0.00
1/1/24,South Korea,-0.36
1/1/21,South Korea,0.19
1/1/19,South Korea,-0.46
1/1/20,South Korea,0.48
1/1/23,Spain,0.65
1/1/19,Spain,0.29
1/1/20,Spain,0.14
1/1/21,Spain,0.45
1/1/22,Spain,0.53
1/1/24,Spain,0.94
1/1/23,Sweden,0.49
1/1/24,Sweden,0.41
1/1/22,Sweden,1.19
1/1/19,Sweden,-0.32
1/1/20,Sweden,0.85
1/1/21,Sweden,0.95
1/1/24,Switzerland*,3.15
1/1/23,Switzerland*,3.24
1/1/22,Switzerland*,4.01
1/1/20,Switzerland*,3.19
1/1/19,Switzerland*,1.55
1/1/21,Switzerland*,3.48
1/1/19,Turkey,-0.36
1/1/20,Turkey,-0.27
1/1/21,Turkey,-0.58
1/1/22,Turkey,-0.32
1/1/23,Turkey,-0.55
1/1/24,Turkey,-0.49
1/1/23,United Arab Emirates*,3.50
