Occupation,bls_pct,claude_pct
"Farming, fishing, and forestry ",0.30%,0.10%
Legal ,0.80%,0.90%
"Life, physical, and social science ",0.90%,6.40%
"Arts, design, entertainment, sports, and media ",1.40%,10.30%
Community and social service ,1.60%,2.10%
Architecture and engineering ,1.70%,4.50%
Personal care and service ,2.00%,0.50%
Protective service ,2.30%,0.40%
Building and grounds cleaning and maintenance ,2.90%,0.10%
Computer and mathematical ,3.40%,37.20%
"Installation, maintenance, and repair ",3.90%,0.70%
Construction and extraction ,4.10%,0.40%
Healthcare support ,4.70%,0.30%
Educational instruction and library ,5.80%,9.30%
Production ,5.80%,2.90%
Healthcare practitioners and technical ,6.10%,2.60%
Business and financial operations ,6.60%,5.90%
Management ,6.90%,4.50%
Food preparation and serving related ,8.70%,0.50%
Sales and related ,8.80%,2.30%
Transportation and material moving ,9.10%,0.30%
Office and administrative support ,12.20%,7.90%
