Year,AI job postings (% of all job postings),Skill cluster
2010,0.00%,"AI ethics, governance, and regulations"
2011,0.00%,"AI ethics, governance, and regulations"
2012,0.00%,"AI ethics, governance, and regulations"
2013,0.00%,"AI ethics, governance, and regulations"
2014,0.00%,"AI ethics, governance, and regulations"
2015,0.00%,"AI ethics, governance, and regulations"
2016,0.00%,"AI ethics, governance, and regulations"
2017,0.00%,"AI ethics, governance, and regulations"
2018,0.00%,"AI ethics, governance, and regulations"
2019,0.00%,"AI ethics, governance, and regulations"
2020,0.00%,"AI ethics, governance, and regulations"
2021,0.01%,"AI ethics, governance, and regulations"
2022,0.01%,"AI ethics, governance, and regulations"
2023,0.01%,"AI ethics, governance, and regulations"
2024,0.02%,"AI ethics, governance, and regulations"
2010,0.02%,Robotics
2011,0.03%,Robotics
2012,0.03%,Robotics
2013,0.03%,Robotics
2014,0.03%,Robotics
2015,0.03%,Robotics
2016,0.04%,Robotics
2017,0.05%,Robotics
2018,0.06%,Robotics
2019,0.06%,Robotics
2020,0.05%,Robotics
2021,0.05%,Robotics
2022,0.06%,Robotics
2023,0.07%,Robotics
2024,0.07%,Robotics
2010,0.05%,Visual image recognition
2011,0.05%,Visual image recognition
2012,0.05%,Visual image recognition
2013,0.04%,Visual image recognition
2014,0.04%,Visual image recognition
2015,0.05%,Visual image recognition
2016,0.06%,Visual image recognition
2017,0.08%,Visual image recognition
2018,0.09%,Visual image recognition
2019,0.09%,Visual image recognition
2020,0.08%,Visual image recognition
2021,0.09%,Visual image recognition
2022,0.10%,Visual image recognition
2023,0.08%,Visual image recognition
2024,0.09%,Visual image recognition
2010,0.07%,Autonomous driving
2011,0.07%,Autonomous driving
2012,0.07%,Autonomous driving
2013,0.06%,Autonomous driving
2014,0.06%,Autonomous driving
2015,0.08%,Autonomous driving
2016,0.09%,Autonomous driving
2017,0.11%,Autonomous driving
2018,0.12%,Autonomous driving
2019,0.13%,Autonomous driving
2020,0.13%,Autonomous driving
2021,0.13%,Autonomous driving
2022,0.16%,Autonomous driving
2023,0.17%,Autonomous driving
2024,0.13%,Autonomous driving
2010,0.01%,Neural networks
2011,0.01%,Neural networks
2012,0.01%,Neural networks
2013,0.01%,Neural networks
2014,0.01%,Neural networks
2015,0.02%,Neural networks
2016,0.03%,Neural networks
2017,0.07%,Neural networks
2018,0.14%,Neural networks
2019,0.16%,Neural networks
2020,0.14%,Neural networks
2021,0.15%,Neural networks
2022,0.16%,Neural networks
2023,0.12%,Neural networks
2024,0.16%,Neural networks
2010,0.01%,Generative AI
2011,0.01%,Generative AI
2012,0.00%,Generative AI
2013,0.00%,Generative AI
2014,0.00%,Generative AI
2015,0.00%,Generative AI
2016,0.00%,Generative AI
2017,0.01%,Generative AI
2018,0.01%,Generative AI
2019,0.01%,Generative AI
2020,0.01%,Generative AI
2021,0.01%,Generative AI
2022,0.01%,Generative AI
2023,0.06%,Generative AI
2024,0.22%,Generative AI
2010,0.13%,Natural language processing
2011,0.14%,Natural language processing
2012,0.15%,Natural language processing
2013,0.13%,Natural language processing
2014,0.13%,Natural language processing
2015,0.14%,Natural language processing
2016,0.15%,Natural language processing
2017,0.19%,Natural language processing
2018,0.23%,Natural language processing
2019,0.22%,Natural language processing
2020,0.19%,Natural language processing
2021,0.21%,Natural language processing
2022,0.23%,Natural language processing
2023,0.19%,Natural language processing
2024,0.23%,Natural language processing
2010,0.18%,Machine learning
2011,0.19%,Machine learning
2012,0.28%,Machine learning
2013,0.23%,Machine learning
2014,0.29%,Machine learning
2015,0.37%,Machine learning
2016,0.45%,Machine learning
2017,0.64%,Machine learning
2018,0.85%,Machine learning
2019,0.96%,Machine learning
2020,0.86%,Machine learning
2021,0.91%,Machine learning
2022,1.03%,Machine learning
2023,0.74%,Machine learning
2024,0.92%,Machine learning
2010,0.09%,Artificial intelligence
2011,0.11%,Artificial intelligence
2012,0.12%,Artificial intelligence
2013,0.10%,Artificial intelligence
2014,0.11%,Artificial intelligence
2015,0.12%,Artificial intelligence
2016,0.12%,Artificial intelligence
2017,0.20%,Artificial intelligence
2018,0.35%,Artificial intelligence
2019,0.44%,Artificial intelligence
2020,0.44%,Artificial intelligence
2021,0.55%,Artificial intelligence
2022,0.65%,Artificial intelligence
2023,0.58%,Artificial intelligence
2024,0.94%,Artificial intelligence
