Number of AI Job Postings,Skill,Year
19886,Scalability,2012–14
20330,Agile methodology,2012–14
5371,Amazon Web Services,2012–14
54035,Project management,2012–14
22157,Automation,2012–14
11861,Data science,2012–14
51304,SQL (programming language),2012–14
41842,Data analysis,2012–14
83826,Computer science,2012–14
31782,Python (programming language),2012–14
86990,Scalability,2024
88141,Agile methodology,2024
100881,Amazon Web Services,2024
101127,Project management,2024
102210,Automation,2024
110620,Data science,2024
119441,SQL (programming language),2024
128938,Data analysis,2024
193341,Computer science,2024
199213,Python (programming language),2024
