Number of AI Job Postings,Generative AI skill,Year
0.522332095,Generative artificial intelligence,2023
0.164454473,Large language modeling,2023
0.046223786,Prompt engineering,2023
0.101108309,ChatGPT,2023
0.004380143,Retrieval augmented generation,2023
0.043900982,Generative adversarial networks,2023
0.002123706,Microsoft Copilot,2023
0.067062649,Text to speech (TTS),2023
0.013273162,Variational autoencoders,2023
0.001460048,Multimodal models,2023
0.604843468,Generative artificial intelligence,2024
0.177563561,Large language modeling,2024
0.056849023,Prompt engineering,2024
0.051411922,ChatGPT,2024
0.025724115,Retrieval augmented generation,2024
0.02008732,Generative adversarial networks,2024
0.013579138,Microsoft Copilot,2024
0.009485427,Text to speech (TTS),2024
0.006862184,Variational autoencoders,2024
0.006653414,Multimodal models,2024
