AI Job Postings (% of All Job Postings),Sector,Year
0.41%,Waste management and administrative support services,2023
0.61%,Transportation and warehousing,2023
0.87%,"Agriculture, forestry, fishing and hunting",2023
0.57%,Retail trade,2023
0.84%,Wholesale trade,2023
0.85%,Real estate and rental and leasing,2023
1.76%,Public administration,2023
1.11%,"Mining, quarrying, and oil and gas extraction",2023
1.69%,Management of companies and enterprises,2023
1.79%,Educational services,2023
1.39%,Utilities,2023
2.88%,Manufacturing,2023
3.24%,Finance and insurance,2023
4.00%,"Professional, scientific, and technical services",2023
5.19%,Information,2023
0.48%,Waste management and administrative support services,2024
0.82%,Transportation and warehousing,2024
1.07%,"Agriculture, forestry, fishing and hunting",2024
1.16%,Retail trade,2024
1.20%,Wholesale trade,2024
1.21%,Real estate and rental and leasing,2024
1.29%,Public administration,2024
1.87%,"Mining, quarrying, and oil and gas extraction",2024
1.92%,Management of companies and enterprises,2024
2.05%,Educational services,2024
2.15%,Utilities,2024
3.75%,Manufacturing,2024
3.76%,Finance and insurance,2024
5.25%,"Professional, scientific, and technical services",2024
9.33%,Information,2024
