State code,Percentage of US states' job postings in AI
AL,1.38%
AK,1.60%
AZ,1.50%
AR,1.86%
CA,2.67%
CO,1.78%
CT,1.64%
DE,3.38%
FL,1.09%
GA,1.82%
HI,1.44%
ID,1.91%
IL,1.87%
IN,0.97%
IA,1.07%
KS,1.52%
KY,1.04%
LA,0.92%
ME,1.57%
MD,2.29%
MA,2.71%
MI,1.51%
MN,1.46%
MS,1.37%
MO,1.26%
MT,1.59%
NE,1.34%
NV,1.18%
NH,1.16%
NJ,2.07%
NM,1.30%
NY,2.19%
NC,1.52%
ND,1.22%
OH,1.19%
OK,1.09%
OR,1.54%
PA,1.46%
RI,2.13%
SC,0.98%
SD,1.18%
TN,1.14%
TX,1.86%
UT,1.75%
VT,1.43%
VA,2.77%
WA,3.27%
DC,4.44%
WV,1.13%
WI,1.00%
WY,1.74%
