Year,Total investment (in billions of US dollars),Geographic area
2013,0.61658439,China
2014,0.673935556,China
2015,2.086373778,China
2016,4.519861251,China
2017,6.616391256,China
2018,13.96504961,China
2019,14.05402482,China
2020,17.06963591,China
2021,25.891135,China
2022,15.06845193,China
2023,9.468041482,China
2024,9.290337909,China
2013,0.656467012,Europe
2014,1.300983597,Europe
2015,0.852841327,Europe
2016,1.233516216,Europe
2017,2.58862046,Europe
2018,3.003154228,Europe
2019,6.335507139,Europe
2020,6.201767211,Europe
2021,14.64791243,Europe
2022,14.78506626,Europe
2023,12.14006452,Europe
2024,19.41826343,Europe
2013,3.620671948,United States
2014,6.957072547,United States
2015,9.300375238,United States
2016,10.15427593,United States
2017,14.06545607,United States
2018,21.05140072,United States
2019,32.07351577,United States
2020,44.21681516,United States
2021,86.8555594,United States
2022,61.18507797,United States
2023,72.36476495,United States
2024,109.0773255,United States
