Geographic area,"Number of newly funded AI companies, 2024"
United States,1073
United Kingdom,116
China,98
India,74
Germany,67
France,59
South Korea,52
Canada,51
Japan,42
Singapore,39
Israel,36
Netherlands,24
Australia,23
Switzerland,22
Spain,18
Hong Kong,17
Brazil,17
Sweden,16
Denmark,15
Italy,14
Finland,12
Austria,10
Norway,9
Belgium,9
Ireland,9
United Arab Emirates,8
Lithuania,7
Portugal,5
Turkey,5
Poland,5
South Africa,4
Mexico,3
Saudi Arabia,3
Estonia,3
Luxembourg,3
Romania,2
Taiwan,2
Philippines,2
Vietnam,2
Czech Republic,2
New Zealand,2
Bulgaria,2
Cayman Islands,2
Iceland,2
Egypt,2
Colombia,2
Cyprus,2
Costa Rica,1
British Virgin Islands,1
Cameroon,1
Tunisia,1
Thailand,1
Nigeria,1
Croatia,1
Peru,1
Slovenia,1
Hungary,1
Saint Kitts And Nevis,1
Indonesia,1
Jersey,1
Malaysia,1
Kazakhstan,1
