Geographic area,"Number of newly funded AI companies, 2013-24"
United States,6956
China,1605
United Kingdom,885
Israel,492
Canada,481
France,468
India,434
Germany,394
Japan,388
South Korea,270
Singapore,239
Australia,178
Switzerland,154
Spain,117
Netherlands,116
Sweden,112
Ireland,89
Brazil,85
Italy,85
Hong Kong,70
Denmark,59
Finland,53
Belgium,51
Austria,51
Norway,50
Poland,48
Taiwan,42
United Arab Emirates,36
Russia,29
New Zealand,27
Portugal,27
Mexico,26
Turkey,25
Czech Republic,23
South Africa,20
Indonesia,19
Estonia,19
Chile,17
Luxembourg,17
Malaysia,15
Vietnam,15
Egypt,14
Saudi Arabia,13
Romania,13
Hungary,12
Colombia,10
Argentina,10
Cayman Islands,9
Lithuania,9
Iceland,9
Cyprus,8
Bulgaria,8
Nigeria,8
Greece,7
Thailand,7
Kenya,6
Slovakia,5
Philippines,5
Croatia,4
Ghana,4
Ukraine,4
British Virgin Islands,3
Kazakhstan,3
Slovenia,3
Latvia,3
Malta,3
Uganda,3
Bahrain,2
Tunisia,2
Belarus,2
Uruguay,2
Sri Lanka,2
Costa Rica,2
Mongolia,2
Jordan,2
Serbia,2
Jersey,2
Saint Kitts And Nevis,2
Puerto Rico,1
Panama,1
Armenia,1
Peru,1
Bangladesh,1
Lebanon,1
Ecuador,1
Barbados,1
Mauritius,1
Belize,1
Cameroon,1
Seychelles,1
Anguilla,1
