Year,Number of companies,Geographic area
2013,27,China
2014,43,China
2015,72,China
2016,69,China
2017,92,China
2018,205,China
2019,217,China
2020,192,China
2021,260,China
2022,147,China
2023,122,China
2024,109,China
2013,60,Europe
2014,86,Europe
2015,97,Europe
2016,125,Europe
2017,183,Europe
2018,250,Europe
2019,242,Europe
2020,275,Europe
2021,379,Europe
2022,311,Europe
2023,393,Europe
2024,447,Europe
2013,337,United States
2014,352,United States
2015,292,United States
2016,402,United States
2017,510,United States
2018,516,United States
2019,494,United States
2020,547,United States
2021,660,United States
2022,502,United States
2023,897,United States
2024,1143,United States
