Total investment (in billions of U.S. dollars),Focus area,Year
1.318923138,"Creative, music, video content",2023
0.155338833,Content creation/translation,2023
0.45532358,Agritech,2023
0.068209405,IoT,2023
1.969307472,Quantum computing,2023
1.240451899,Ed tech,2023
0.669304524,Retail,2023
0.666498457,AR/VR,2023
0.601308465,Insurtech,2023
0.046867957,Supply chain,2023
0.086799992,Semantic search,2023
0.067700002,Business operations,2023
1.198622814,"Marketing, digital ads",2023
1.466295478,"Energy, oil, and gas",2023
0.956289845,Drones,2023
0.195583705,Robotics,2023
0.852195916,"Cybersecurity, data protection",2023
8.064986022,"NLP, customer support",2023
1.663431119,Semiconductors,2023
0.891634742,Manufacturing,2023
2.126519025,Fintech,2023
2.714477022,AV,2023
4.192175837,Medical and health care,2023
5.489236471,"Data management, processing",2023
10.40020055,AI infrastructure/research/governance,2023
0.748473975,"Creative, music, video content",2024
0.756009446,Content creation/translation,2024
0.806693553,Agritech,2024
0.840282684,IoT,2024
0.961302301,Quantum computing,2024
0.965170712,Ed tech,2024
1.171704249,Retail,2024
1.348963851,AR/VR,2024
1.356068185,Insurtech,2024
1.396218192,Supply chain,2024
1.428230479,Semantic search,2024
1.52401548,Business operations,2024
1.596854185,"Marketing, digital ads",2024
2.016833535,"Energy, oil, and gas",2024
2.579738317,Drones,2024
3.288515919,Robotics,2024
3.733714874,"Cybersecurity, data protection",2024
4.178247982,"NLP, customer support",2024
5.527567999,Semiconductors,2024
6.584892996,Manufacturing,2024
6.880099165,Fintech,2024
9.426366229,AV,2024
10.80499474,Medical and health care,2024
16.58964939,"Data management, processing",2024
37.27128627,AI infrastructure/research/governance,2024
